"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","dframe","Log_loss","Score_log","Score_spherical"
90965.6530719898,90987.4946296096,0.539093432379079,0,0.539093432379079,16.1283624450902,16.2541984478026,"arousal","by_sample_cutoffNA",NA,NA,NA
88432.8804974887,88454.7220551085,0.627190748450833,0,0.627190748450833,14.2914421181975,14.403664969597,"valence","by_sample_cutoffNA",NA,NA,NA
3760.10107995573,3774.66211836893,0.474448180495445,0,0.474448180495445,0.20775128722738,1,"stress","by_sample_cutoffNA",0.156995675861767,-30.1360653349582,0.00492276984493233
74465.9214667857,74487.1556627837,0.536091934812735,0,0.536091934812735,16.1765102410213,16.3304899035841,"arousal","by_sample_iqr_out2.5",NA,NA,NA
72229.3854040297,72250.6196000277,0.628660479090848,0,0.628660479090848,14.185746482663,14.3219406260104,"valence","by_sample_iqr_out2.5",NA,NA,NA
3107.86412863466,3122.0202593,0.465550123037177,0,0.465550123037177,0.207637549456146,1,"stress","by_sample_iqr_out2.5",0.156828704731204,-24.1157466440021,0.00561712302229154
80879.29664532,80900.7819858641,0.538027252820265,0,0.538027252820265,16.1475192546647,16.2891534949168,"arousal","by_sample_iqr_out3.5",NA,NA,NA
78476.6769698681,78498.1623104122,0.63029735365758,0,0.63029735365758,14.1863313145398,14.3117167673817,"valence","by_sample_iqr_out3.5",NA,NA,NA
3314.74289222741,3329.06645259013,0.468681236026775,0,0.468681236026775,0.205957716872875,1,"stress","by_sample_iqr_out3.5",0.154492977053758,-25.7156864791485,0.00541732878343735
90965.6530719898,90987.4946296096,0.539093432379079,0,0.539093432379079,16.1283624450902,16.2541984478026,"arousal","by_participant_cutoffNA",NA,NA,NA
88432.8804974887,88454.7220551085,0.627190748450833,0,0.627190748450833,14.2914421181975,14.403664969597,"valence","by_participant_cutoffNA",NA,NA,NA
3760.10107995573,3774.66211836893,0.474448180495445,0,0.474448180495445,0.20775128722738,1,"stress","by_participant_cutoffNA",0.156995675861767,-30.1360653349582,0.00492276984493233
74465.9214667857,74487.1556627837,0.536091934812735,0,0.536091934812735,16.1765102410213,16.3304899035841,"arousal","by_participant_iqr_out2.5",NA,NA,NA
72229.3854040297,72250.6196000277,0.628660479090848,0,0.628660479090848,14.185746482663,14.3219406260104,"valence","by_participant_iqr_out2.5",NA,NA,NA
3107.86412863466,3122.0202593,0.465550123037177,0,0.465550123037177,0.207637549456146,1,"stress","by_participant_iqr_out2.5",0.156828704731204,-24.1157466440021,0.00561712302229154
80879.29664532,80900.7819858641,0.538027252820265,0,0.538027252820265,16.1475192546647,16.2891534949168,"arousal","by_participant_iqr_out3.5",NA,NA,NA
78476.6769698681,78498.1623104122,0.63029735365758,0,0.63029735365758,14.1863313145398,14.3117167673817,"valence","by_participant_iqr_out3.5",NA,NA,NA
3314.74289222741,3329.06645259013,0.468681236026775,0,0.468681236026775,0.205957716872875,1,"stress","by_participant_iqr_out3.5",0.154492977053758,-25.7156864791485,0.00541732878343735
