"AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","pseudo_R2","dv","dframe"
21585.4504326889,21585.4526692,21607.2942268199,0.561186518211852,0,0.561186518211852,0.63437956962186,0.639362695509107,0.565383225955595,"arousal","1000"
19657.2560352897,19657.2582718007,19679.0998294206,0.644553563741927,0,0.644553563741927,0.578293605922256,0.582862470806793,0.640161368681982,"valence","1000"
21585.4504326889,21585.4526692,21607.2942268199,0.561186518211852,0,0.561186518211852,0.63437956962186,0.639362695509107,0.565383225955595,"arousal","2000"
19657.2560352897,19657.2582718007,19679.0998294206,0.644553563741927,0,0.644553563741927,0.578293605922256,0.582862470806793,0.640161368681982,"valence","2000"
21585.4504326889,21585.4526692,21607.2942268199,0.561186518211852,0,0.561186518211852,0.63437956962186,0.639362695509107,0.565383225955595,"arousal","3000"
19657.2560352897,19657.2582718007,19679.0998294206,0.644553563741927,0,0.644553563741927,0.578293605922256,0.582862470806793,0.640161368681982,"valence","3000"
