"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"fixed",NA,"(Intercept)",-0.0489133074730242,0.0559166582677796,-0.874753767272411,169.838856181092,0.382943224675747,-0.159294475923096,0.0614678609770479,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_within",-0.0138412434783215,0.00730861545014951,-1.8938256599666,10565.2326979301,0.0582754458487377,-0.0281675077668965,0.000485020810253466,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_between",-0.340319945965171,0.13538057876108,-2.51380182504441,169.073914432972,0.0128786224707402,-0.607573964495828,-0.0730659274345143,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.709687672135549,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639254424893147,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"fixed",NA,"(Intercept)",-0.0453361123287598,0.053769660967176,-0.843154141448567,169.442375541862,0.400330897240714,-0.151480825633138,0.0608086009756187,"mo_ep_mean_angle_mean","arousal","1000"
"fixed",NA,"mo_ep_mean_angle_mean_within",-0.0107760476883381,0.00743317356500249,-1.44972367375825,10564.7665784842,0.147165274988531,-0.0253464694405461,0.00379437406386982,"mo_ep_mean_angle_mean","arousal","1000"
"fixed",NA,"mo_ep_mean_angle_mean_between",-0.408586185904381,0.0982089473818093,-4.1603763892908,168.688268145182,5.05124425857587e-05,-0.602463096626695,-0.214709275182067,"mo_ep_mean_angle_mean","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.687657099214963,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_mean","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639306693002937,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_mean","arousal","1000"
"fixed",NA,"(Intercept)",-0.0535052916413514,0.0554787160355795,-0.964429162474445,169.859743067,0.336201836918585,-0.163021852294403,0.0560112690116997,"mo_ep_sd_angle_mean","arousal","1000"
"fixed",NA,"mo_ep_sd_angle_mean_within",-0.001577752620854,0.00693924016724862,-0.227366769678988,10565.0795245596,0.820142957002763,-0.0151799717335042,0.0120244664917962,"mo_ep_sd_angle_mean","arousal","1000"
"fixed",NA,"mo_ep_sd_angle_mean_between",-0.457880318021459,0.175285970737525,-2.61219033157589,169.409584507447,0.00980464388585997,-0.803906398129014,-0.111854237913903,"mo_ep_sd_angle_mean","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.708495687973313,NA,NA,NA,NA,NA,NA,"mo_ep_sd_angle_mean","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639363664332343,NA,NA,NA,NA,NA,NA,"mo_ep_sd_angle_mean","arousal","1000"
"fixed",NA,"(Intercept)",-0.0500654184973141,0.0546119620225422,-0.916748211255413,169.451247183672,0.360577477584456,-0.157872846788943,0.0577420097943147,"mo_ep_mean_angle_sd","arousal","1000"
"fixed",NA,"mo_ep_mean_angle_sd_within",-0.0202574364054975,0.00748859063434123,-2.70510666087165,10564.7888739642,0.0068391947568762,-0.034936486059246,-0.00557838675174896,"mo_ep_mean_angle_sd","arousal","1000"
"fixed",NA,"mo_ep_mean_angle_sd_between",-0.337399151237407,0.0989490612101463,-3.40982670387185,168.547396546253,0.000813442415398789,-0.532738320051078,-0.142059982423736,"mo_ep_mean_angle_sd","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.698574174250437,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_sd","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639148598680331,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_sd","arousal","1000"
"fixed",NA,"(Intercept)",-0.0811609988119568,0.0562296907361255,-1.4433833398236,170.170407156898,0.150750868978577,-0.192158550957792,0.029836553333878,"mo_ep_sd_x_flips","arousal","1000"
"fixed",NA,"mo_ep_sd_x_flips_within",-0.0036051706208725,0.00754245365624532,-0.477983794820846,10565.3357196252,0.632671628156459,-0.0183898018660107,0.0111794606242656,"mo_ep_sd_x_flips","arousal","1000"
"fixed",NA,"mo_ep_sd_x_flips_between",0.112535882421302,0.110675110310024,1.0168129230327,170.886649125991,0.310679876403991,-0.105930508422683,0.331002273265287,"mo_ep_sd_x_flips","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.720904343945935,NA,NA,NA,NA,NA,NA,"mo_ep_sd_x_flips","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639354391820952,NA,NA,NA,NA,NA,NA,"mo_ep_sd_x_flips","arousal","1000"
