"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_episodes.","arousal","1000"
"within","lockscreen_episodes._within",-0.0137257154448713,0.95,-0.0344343695951105,0.00698293870536793,"lockscreen_episodes.","arousal","1000"
"between","lockscreen_episodes._between",-0.150051829735043,0.95,-0.299903286607559,-0.000200372862526877,"lockscreen_episodes.","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_time","arousal","1000"
"within","lockscreen_time_within",-0.01564661044664,0.95,-0.0359787146307817,0.00468549373750172,"lockscreen_time","arousal","1000"
"between","lockscreen_time_between",-0.154622019664143,0.95,-0.304465085846587,-0.00477895348169859,"lockscreen_time","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","valence","1000"
"within","recording_duration_within",0.0238686112866605,0.95,0.00421106873060677,0.0435261538427142,"recording_duration","valence","1000"
"between","recording_duration_between",-0.0139992484136953,0.95,-0.165842398345947,0.137843901518556,"recording_duration","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","valence","1000"
"within","movement_episodes_within",0.00284783799815888,0.95,-0.0244298180222432,0.030125494018561,"movement_episodes","valence","1000"
"between","movement_episodes_between",0.14080202478665,0.95,-0.00904776766958265,0.290651817242883,"movement_episodes","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_episode_duration","valence","1000"
"within","mo_ep_sd_episode_duration_within",-0.00744962526500305,0.95,-0.0330431481487394,0.0181438976187333,"mo_ep_sd_episode_duration","valence","1000"
"between","mo_ep_sd_episode_duration_between",0.176743329377901,0.95,0.0277890661636193,0.325697592592183,"mo_ep_sd_episode_duration","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","valence","1000"
"within","mo_ep_mean_total_dist_within",-0.0072313828395232,0.95,-0.0294944465367426,0.0150316808576962,"mo_ep_mean_total_dist","valence","1000"
"between","mo_ep_mean_total_dist_between",-0.0717877590355369,0.95,-0.221777663515779,0.0782021454447055,"mo_ep_mean_total_dist","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_total_dist","valence","1000"
"within","mo_ep_sd_total_dist_within",-0.0119108636687036,0.95,-0.0355895985994762,0.0117678712620689,"mo_ep_sd_total_dist","valence","1000"
"between","mo_ep_sd_total_dist_between",0.0518317364164343,0.95,-0.099020503828414,0.202683976661283,"mo_ep_sd_total_dist","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","valence","1000"
"within","mo_ep_sd_speed_mean_within",-0.0153828469459232,0.95,-0.0365317385749678,0.00576604468312128,"mo_ep_sd_speed_mean","valence","1000"
"between","mo_ep_sd_speed_mean_between",-0.190949921238586,0.95,-0.339543471869127,-0.0423563706080441,"mo_ep_sd_speed_mean","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_abs_jerk_sd","valence","1000"
"within","mo_ep_mean_abs_jerk_sd_within",0.00450973355191077,0.95,-0.0213359757452316,0.0303554428490531,"mo_ep_mean_abs_jerk_sd","valence","1000"
"between","mo_ep_mean_abs_jerk_sd_between",-0.270860517123998,0.95,-0.415907004991593,-0.125814029256403,"mo_ep_mean_abs_jerk_sd","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","valence","1000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.0059088786162708,0.95,-0.0297588586774444,0.0179411014449028,"mo_ep_sd_abs_jerk_sd","valence","1000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.203577849636956,0.95,-0.351112464129783,-0.0560432351441293,"mo_ep_sd_abs_jerk_sd","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","valence","1000"
"within","mo_ep_mean_angle_mean_within",0.00534908954272344,0.95,-0.0199962529792199,0.0306944320646668,"mo_ep_mean_angle_mean","valence","1000"
"between","mo_ep_mean_angle_mean_between",-0.322536661639149,0.95,-0.465634866370431,-0.179438456907867,"mo_ep_mean_angle_mean","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","valence","1000"
"within","mo_ep_sd_angle_mean_within",-0.00157438155958315,0.95,-0.0249030515905622,0.0217542884713959,"mo_ep_sd_angle_mean","valence","1000"
"between","mo_ep_sd_angle_mean_between",-0.168427283590722,0.95,-0.317454380656486,-0.0194001865249589,"mo_ep_sd_angle_mean","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","valence","1000"
"within","mo_ep_mean_angle_sd_within",-0.00534231806774943,0.95,-0.0322793908080397,0.0215947546725408,"mo_ep_mean_angle_sd","valence","1000"
"between","mo_ep_mean_angle_sd_between",-0.279540958132128,0.95,-0.424769796104285,-0.134312120159971,"mo_ep_mean_angle_sd","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_x_flips","valence","1000"
"within","mo_ep_sd_x_flips_within",-0.00869917143839846,0.95,-0.0361967403174357,0.0187983974406388,"mo_ep_sd_x_flips","valence","1000"
"between","mo_ep_sd_x_flips_between",0.0741491954901584,0.95,-0.0765759468147036,0.22487433779502,"mo_ep_sd_x_flips","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","valence","1000"
"within","mo_ep_mean_y_flips_within",-0.00451504052789476,0.95,-0.028049380587929,0.0190192995321395,"mo_ep_mean_y_flips","valence","1000"
"between","mo_ep_mean_y_flips_between",-0.0766237070919547,0.95,-0.227230728967988,0.0739833147840785,"mo_ep_mean_y_flips","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","valence","1000"
"within","movement_distance_within",-0.00940514204573465,0.95,-0.034934126965434,0.0161238428739647,"movement_distance","valence","1000"
"between","movement_distance_between",0.0968557344707758,0.95,-0.0535931758847724,0.247304644826324,"movement_distance","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_episodes.","valence","1000"
"within","lockscreen_episodes._within",-0.0243511520499937,0.95,-0.0454749577542762,-0.00322734634571121,"lockscreen_episodes.","valence","1000"
"between","lockscreen_episodes._between",-0.13879161480901,0.95,-0.289057863783764,0.0114746341657446,"lockscreen_episodes.","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_time","valence","1000"
"within","lockscreen_time_within",-0.0285682678335305,0.95,-0.0509537000878624,-0.00618283557919865,"lockscreen_time","valence","1000"
"between","lockscreen_time_between",-0.148427640788984,0.95,-0.29828343576963,0.00142815419166166,"lockscreen_time","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","arousal","2000"
"within","recording_duration_within",0.000565664031317926,0.95,-0.018808963815954,0.0199402918785899,"recording_duration","arousal","2000"
"between","recording_duration_between",-0.0441309284991886,0.95,-0.196261617888809,0.107999760890432,"recording_duration","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","arousal","2000"
"within","movement_episodes_within",0.0137378483744299,0.95,-0.0138973193551123,0.041373016103972,"movement_episodes","arousal","2000"
"between","movement_episodes_between",0.0819298867667718,0.95,-0.0691932928471001,0.233053066380644,"movement_episodes","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","arousal","2000"
"within","mo_ep_mean_total_dist_within",-0.0092794232162929,0.95,-0.0291326466845621,0.0105738002519764,"mo_ep_mean_total_dist","arousal","2000"
"between","mo_ep_mean_total_dist_between",-0.027752917344098,0.95,-0.178890698147957,0.123384863459761,"mo_ep_mean_total_dist","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","arousal","2000"
"within","mo_ep_sd_speed_mean_within",-0.0122134972408404,0.95,-0.0342605470884857,0.00983355260680487,"mo_ep_sd_speed_mean","arousal","2000"
"between","mo_ep_sd_speed_mean_between",-0.153747988199888,0.95,-0.30360222800806,-0.00389374839171495,"mo_ep_sd_speed_mean","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_abs_jerk_sd","arousal","2000"
"within","mo_ep_mean_abs_jerk_sd_within",-0.0300389450671244,0.95,-0.0558012685234305,-0.00427662161081841,"mo_ep_mean_abs_jerk_sd","arousal","2000"
"between","mo_ep_mean_abs_jerk_sd_between",-0.263928271005378,0.95,-0.410259904954813,-0.117596637055944,"mo_ep_mean_abs_jerk_sd","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","arousal","2000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.016162551852534,0.95,-0.0396508587936026,0.00732575508853466,"mo_ep_sd_abs_jerk_sd","arousal","2000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.164660302594097,0.95,-0.314204225585867,-0.0151163796023264,"mo_ep_sd_abs_jerk_sd","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","arousal","2000"
"within","mo_ep_mean_angle_mean_within",-0.0106873858387388,0.95,-0.034441847738043,0.0130670760605654,"mo_ep_mean_angle_mean","arousal","2000"
"between","mo_ep_mean_angle_mean_between",-0.278119058151153,0.95,-0.423724887562531,-0.132513228739776,"mo_ep_mean_angle_mean","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","arousal","2000"
"within","mo_ep_sd_angle_mean_within",-0.0037005926574025,0.95,-0.0258321707608396,0.0184309854460346,"mo_ep_sd_angle_mean","arousal","2000"
"between","mo_ep_sd_angle_mean_between",-0.18479868279189,0.95,-0.33390204473414,-0.0356953208496395,"mo_ep_sd_angle_mean","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","arousal","2000"
"within","mo_ep_mean_angle_sd_within",-0.0227153837107081,0.95,-0.0490525737433378,0.00362180632192149,"mo_ep_mean_angle_sd","arousal","2000"
"between","mo_ep_mean_angle_sd_between",-0.244116529982647,0.95,-0.391072688570573,-0.09716037139472,"mo_ep_mean_angle_sd","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","arousal","2000"
"within","mo_ep_mean_y_flips_within",-0.00402324272834666,0.95,-0.0229506329225819,0.0149041474658886,"mo_ep_mean_y_flips","arousal","2000"
"between","mo_ep_mean_y_flips_between",-0.0149268525909984,0.95,-0.166542459603075,0.136688754421078,"mo_ep_mean_y_flips","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_y_flips","arousal","2000"
"within","mo_ep_sd_y_flips_within",-0.013388739281688,0.95,-0.0397291357524236,0.0129516571890476,"mo_ep_sd_y_flips","arousal","2000"
"between","mo_ep_sd_y_flips_between",0.0832972883480704,0.95,-0.0680710324390709,0.234665609135212,"mo_ep_sd_y_flips","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","arousal","2000"
"within","movement_distance_within",-0.00501120590782763,0.95,-0.0301666106116785,0.0201441987960233,"movement_distance","arousal","2000"
"between","movement_distance_between",0.0729531948517704,0.95,-0.0784382896103559,0.224344679313897,"movement_distance","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_episodes.","arousal","2000"
"within","lockscreen_episodes._within",-0.0137257154448713,0.95,-0.0344343695951105,0.00698293870536793,"lockscreen_episodes.","arousal","2000"
"between","lockscreen_episodes._between",-0.150051829735043,0.95,-0.299903286607559,-0.000200372862526877,"lockscreen_episodes.","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_time","arousal","2000"
"within","lockscreen_time_within",-0.01564661044664,0.95,-0.0359787146307817,0.00468549373750172,"lockscreen_time","arousal","2000"
"between","lockscreen_time_between",-0.154622019664143,0.95,-0.304465085846587,-0.00477895348169859,"lockscreen_time","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","valence","2000"
"within","recording_duration_within",0.0238686112866605,0.95,0.00421106873060677,0.0435261538427142,"recording_duration","valence","2000"
"between","recording_duration_between",-0.0139992484136953,0.95,-0.165842398345947,0.137843901518556,"recording_duration","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","valence","2000"
"within","movement_episodes_within",-0.000615876356549616,0.95,-0.0261833691719381,0.0249516164588389,"movement_episodes","valence","2000"
"between","movement_episodes_between",0.13598597720393,0.95,-0.0138809601872099,0.285852914595071,"movement_episodes","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","valence","2000"
"within","mo_ep_mean_total_dist_within",-0.00539272796741834,0.95,-0.0263850589213723,0.0155996029865356,"mo_ep_mean_total_dist","valence","2000"
"between","mo_ep_mean_total_dist_between",-0.0193235016102318,0.95,-0.169017339731547,0.130370336511083,"mo_ep_mean_total_dist","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","valence","2000"
"within","mo_ep_sd_speed_mean_within",-0.00833919950284264,0.95,-0.0300460605032811,0.0133676614975958,"mo_ep_sd_speed_mean","valence","2000"
"between","mo_ep_sd_speed_mean_between",-0.141908600201004,0.95,-0.291702374083095,0.0078851736810861,"mo_ep_sd_speed_mean","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_abs_jerk_sd","valence","2000"
"within","mo_ep_mean_abs_jerk_sd_within",0.00533211844952992,0.95,-0.0201451962867096,0.0308094331857694,"mo_ep_mean_abs_jerk_sd","valence","2000"
"between","mo_ep_mean_abs_jerk_sd_between",-0.26763789970415,0.95,-0.412831193992936,-0.122444605415364,"mo_ep_mean_abs_jerk_sd","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","valence","2000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.00609085271198178,0.95,-0.0298217689748746,0.0176400635509111,"mo_ep_sd_abs_jerk_sd","valence","2000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.174283967954895,0.95,-0.323005870841233,-0.0255620650685582,"mo_ep_sd_abs_jerk_sd","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","valence","2000"
"within","mo_ep_mean_angle_mean_within",0.00268552763296277,0.95,-0.0223541697586292,0.0277252250245547,"mo_ep_mean_angle_mean","valence","2000"
"between","mo_ep_mean_angle_mean_between",-0.291066798729223,0.95,-0.435504142610776,-0.146629454847669,"mo_ep_mean_angle_mean","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","valence","2000"
"within","mo_ep_sd_angle_mean_within",-0.00371916640801722,0.95,-0.0252534213993357,0.0178150885833013,"mo_ep_sd_angle_mean","valence","2000"
"between","mo_ep_sd_angle_mean_between",-0.145524066477284,0.95,-0.294825799894658,0.00377766694009011,"mo_ep_sd_angle_mean","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","valence","2000"
"within","mo_ep_mean_angle_sd_within",-0.0057431310698122,0.95,-0.0335213615924095,0.0220350994527851,"mo_ep_mean_angle_sd","valence","2000"
"between","mo_ep_mean_angle_sd_between",-0.270446116266591,0.95,-0.416051523309601,-0.12484070922358,"mo_ep_mean_angle_sd","valence","2000"
