"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_episodes.","arousal","1000"
"within","lockscreen_episodes._within",-0.0132918504802219,0.95,-0.0322099825377737,0.00562628157732998,"lockscreen_episodes.","arousal","1000"
"between","lockscreen_episodes._between",-0.154876242531198,0.95,-0.305369280398314,-0.00438320466408289,"lockscreen_episodes.","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_time","arousal","1000"
"within","lockscreen_time_within",-0.016177697594235,0.95,-0.0350950041477021,0.00273960895923205,"lockscreen_time","arousal","1000"
"between","lockscreen_time_between",-0.152864734466143,0.95,-0.303096047405471,-0.00263342152681488,"lockscreen_time","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","valence","1000"
"within","recording_duration_within",0.0238526002411406,0.95,0.00493827885719607,0.0427669216250851,"recording_duration","valence","1000"
"between","recording_duration_between",-0.00594003857953587,0.95,-0.157876281699204,0.145996204540132,"recording_duration","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","valence","1000"
"within","movement_episodes_within",-0.00428029247505003,0.95,-0.0231998912723184,0.0146393063222183,"movement_episodes","valence","1000"
"between","movement_episodes_between",0.139061331556166,0.95,-0.0108322421054339,0.288954905217766,"movement_episodes","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_episode_duration","valence","1000"
"within","mo_ep_sd_episode_duration_within",-0.00714583137620229,0.95,-0.0260650984917882,0.0117734357393836,"mo_ep_sd_episode_duration","valence","1000"
"between","mo_ep_sd_episode_duration_between",0.176557240143805,0.95,0.0272635834115589,0.325850896876051,"mo_ep_sd_episode_duration","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","valence","1000"
"within","mo_ep_mean_total_dist_within",-0.00636841490416114,0.95,-0.0252878294522428,0.0125509996439206,"mo_ep_mean_total_dist","valence","1000"
"between","mo_ep_mean_total_dist_between",-0.0801990077317185,0.95,-0.230981606581449,0.0705835911180121,"mo_ep_mean_total_dist","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_total_dist","valence","1000"
"within","mo_ep_sd_total_dist_within",-0.00996710876241612,0.95,-0.0288859320992289,0.00895171457439661,"mo_ep_sd_total_dist","valence","1000"
"between","mo_ep_sd_total_dist_between",0.0510212062316863,0.95,-0.10027118765855,0.202313600121922,"mo_ep_sd_total_dist","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","valence","1000"
"within","mo_ep_sd_speed_mean_within",-0.0146666803143503,0.95,-0.0335843654313949,0.00425100480269425,"mo_ep_sd_speed_mean","valence","1000"
"between","mo_ep_sd_speed_mean_between",-0.191739196088795,0.95,-0.340356542723434,-0.0431218494541565,"mo_ep_sd_speed_mean","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_abs_jerk_sd","valence","1000"
"within","mo_ep_mean_abs_jerk_sd_within",0.00289897684626981,0.95,-0.016020764313818,0.0218187180063576,"mo_ep_mean_abs_jerk_sd","valence","1000"
"between","mo_ep_mean_abs_jerk_sd_between",-0.279899298830143,0.95,-0.425088475594788,-0.134710122065498,"mo_ep_mean_abs_jerk_sd","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","valence","1000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.007901735683746,0.95,-0.0268209328527131,0.0110174614852211,"mo_ep_sd_abs_jerk_sd","valence","1000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.209633808468294,0.95,-0.357518255599897,-0.0617493613366908,"mo_ep_sd_abs_jerk_sd","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","valence","1000"
"within","mo_ep_mean_angle_mean_within",0.00360375250074415,0.95,-0.0153160650518534,0.0225235700533416,"mo_ep_mean_angle_mean","valence","1000"
"between","mo_ep_mean_angle_mean_between",-0.318162101033359,0.95,-0.461550716864432,-0.174773485202286,"mo_ep_mean_angle_mean","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","valence","1000"
"within","mo_ep_sd_angle_mean_within",-0.00745202326457089,0.95,-0.026371320441963,0.0114672739128212,"mo_ep_sd_angle_mean","valence","1000"
"between","mo_ep_sd_angle_mean_between",-0.169183924357977,0.95,-0.318306111991386,-0.020061736724569,"mo_ep_sd_angle_mean","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","valence","1000"
"within","mo_ep_mean_angle_sd_within",-0.0102114420144208,0.95,-0.0291304082959886,0.00870752426714693,"mo_ep_mean_angle_sd","valence","1000"
"between","mo_ep_mean_angle_sd_between",-0.277291581573292,0.95,-0.422543282460903,-0.132039880685681,"mo_ep_mean_angle_sd","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_x_flips","valence","1000"
"within","mo_ep_sd_x_flips_within",-0.0111494441157753,0.95,-0.0300680177033827,0.00776912947183216,"mo_ep_sd_x_flips","valence","1000"
"between","mo_ep_sd_x_flips_between",0.0765708984320219,0.95,-0.0744962407615697,0.227638037625613,"mo_ep_sd_x_flips","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","valence","1000"
"within","mo_ep_mean_y_flips_within",-0.00462088589039317,0.95,-0.0235405047420307,0.0142987329612444,"mo_ep_mean_y_flips","valence","1000"
"between","mo_ep_mean_y_flips_between",-0.0760426946990251,0.95,-0.22687078553336,0.0747853961353098,"mo_ep_mean_y_flips","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","valence","1000"
"within","movement_distance_within",-0.0110890186249574,0.95,-0.0300076062942695,0.00782956904435477,"movement_distance","valence","1000"
"between","movement_distance_between",0.0941759523949119,0.95,-0.0566110805560416,0.244962985345865,"movement_distance","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_episodes.","valence","1000"
"within","lockscreen_episodes._within",-0.0231091533123654,0.95,-0.042023795198394,-0.00419451142633671,"lockscreen_episodes.","valence","1000"
"between","lockscreen_episodes._between",-0.136657911318611,0.95,-0.286999446510679,0.0136836238734572,"lockscreen_episodes.","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_time","valence","1000"
"within","lockscreen_time_within",-0.0285902371213935,0.95,-0.0475021507815561,-0.00967832346123092,"lockscreen_time","valence","1000"
"between","lockscreen_time_between",-0.140559282443516,0.95,-0.29060001345676,0.00948144856972743,"lockscreen_time","valence","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","arousal","2000"
"within","recording_duration_within",0.00141719186566552,0.95,-0.0175025562454326,0.0203369399767636,"recording_duration","arousal","2000"
"between","recording_duration_between",-0.0537443493422904,0.95,-0.206134539973701,0.0986458412891201,"recording_duration","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","arousal","2000"
"within","movement_episodes_within",0.00818583558910716,0.95,-0.0107333058775921,0.0271049770558064,"movement_episodes","arousal","2000"
"between","movement_episodes_between",0.0799260972898776,0.95,-0.0712332774370849,0.23108547201684,"movement_episodes","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","arousal","2000"
"within","mo_ep_mean_total_dist_within",-0.00939323367576921,0.95,-0.0283121864301618,0.00952571907862341,"mo_ep_mean_total_dist","arousal","2000"
"between","mo_ep_mean_total_dist_between",-0.0301738068060438,0.95,-0.181774986205597,0.121427372593509,"mo_ep_mean_total_dist","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","arousal","2000"
"within","mo_ep_sd_speed_mean_within",-0.0123593050907003,0.95,-0.0312775900611421,0.00655897987974152,"mo_ep_sd_speed_mean","arousal","2000"
"between","mo_ep_sd_speed_mean_between",-0.151955196771437,0.95,-0.301932690282574,-0.00197770326030027,"mo_ep_sd_speed_mean","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_abs_jerk_sd","arousal","2000"
"within","mo_ep_mean_abs_jerk_sd_within",-0.0322434026184037,0.95,-0.0511532350714893,-0.0133335701653181,"mo_ep_mean_abs_jerk_sd","arousal","2000"
"between","mo_ep_mean_abs_jerk_sd_between",-0.256455301528307,0.95,-0.402993436718533,-0.10991716633808,"mo_ep_mean_abs_jerk_sd","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","arousal","2000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.0164894532992022,0.95,-0.0354066415911043,0.00242773499269996,"mo_ep_sd_abs_jerk_sd","arousal","2000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.164382022718725,0.95,-0.313926396258036,-0.0148376491794149,"mo_ep_sd_abs_jerk_sd","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","arousal","2000"
"within","mo_ep_mean_angle_mean_within",-0.0117995917649347,0.95,-0.0307182943580171,0.00711911082814779,"mo_ep_mean_angle_mean","arousal","2000"
"between","mo_ep_mean_angle_mean_between",-0.267866830528432,0.95,-0.413960788754064,-0.121772872302801,"mo_ep_mean_angle_mean","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","arousal","2000"
"within","mo_ep_sd_angle_mean_within",-0.00579306091139682,0.95,-0.0247125802126705,0.0131264583898768,"mo_ep_sd_angle_mean","arousal","2000"
"between","mo_ep_sd_angle_mean_between",-0.181570295076116,0.95,-0.330746116232948,-0.0323944739192842,"mo_ep_sd_angle_mean","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","arousal","2000"
"within","mo_ep_mean_angle_sd_within",-0.0207628516160421,0.95,-0.0396787183857195,-0.0018469848463647,"mo_ep_mean_angle_sd","arousal","2000"
"between","mo_ep_mean_angle_sd_between",-0.238754277142137,0.95,-0.385924389612928,-0.0915841646713458,"mo_ep_mean_angle_sd","arousal","2000"
