"user","weekday","daytime","stress","valence","arousal","n_traj","speed","speed_max5","speed_max7.5","speed_max12.5","speed_max15","speed_max17.5","speed_max20","accuracy_max5","accuracy_max7.5","accuracy_max12.5","accuracy_max15","accuracy_max17.5","accuracy_max20","accuracy","clicks","wheels"
"04lu0xqp0dbw0fkntpum","Tuesday","afternoon",0,5,4,121,0.322423391632038,0.359380801931541,0.333901149326873,0.303408255867288,0.295942572427003,0.29124965493504,0.288639979580198,0.663735820812986,0.656114919256665,0.657400793074826,0.657882039425476,0.657022413338578,0.657403610761057,0.655940312185852,0.00458216657795469,0.00344819606118812
"04lu0xqp0dbw0fkntpum","Wednesday","afternoon",0,4,3,12,0.228876343348465,0.254472176266945,0.228876343348465,0.228876343348465,0.218515866136452,0.218515866136452,0.218515866136452,0.545013951616562,0.549658683270311,0.549658683270311,0.551981946950373,0.551981946950373,0.551981946950373,0.549658683270311,0.0277900308778121,0
"1qqgqn6zzmfy4baropsp","Sunday","afternoon",0,4,4,71,0.426842864011324,0.472810946716513,0.441705898770875,0.422444119169582,0.418102814625677,0.413282040691269,0.413282040691269,0.628587521625111,0.632264861638784,0.635486801786669,0.633141581409944,0.633739929699522,0.633739929699522,0.635151978441985,0.00975824175824176,0
"grueptlxijwpfcbf0gfn","Wednesday","afternoon",0,7,3,287,0.221756409923822,0.240104150845982,0.228734605721697,0.220109184741361,0.220109184741361,0.21884275229301,0.217768966837591,0.640991831701951,0.642465766853583,0.640198825187712,0.640198825187712,0.639555221112035,0.639364004350124,0.639346785400529,0.00456152187623755,0.00415083823464703
"grueptlxijwpfcbf0gfn","Thursday","morning",0,7,1,16,0.246299390554046,0.301757031394527,0.258394161923223,0.225188376248497,0.203110294834179,0.190221981196121,0.174832186222291,0.644947227345883,0.623432600635929,0.6168560629126,0.609772844002837,0.612251723006975,0.606545977256118,0.626403546967151,0.00264472524243315,0.00837496326770497
"grueptlxijwpfcbf0gfn","Thursday","afternoon",0,7,1,84,0.277301480740352,0.30866494288047,0.293776034394863,0.272467233849427,0.272467233849427,0.26995542941231,0.267290294487985,0.669693555434291,0.667640699819844,0.656568039770491,0.656568039770491,0.656731711191705,0.65716561508995,0.658873892569259,0.00649046503847441,0.0144529943124791
"grueptlxijwpfcbf0gfn","Friday","morning",0,7,1,55,0.287522941367162,0.313847546806363,0.293558943880265,0.287522941367162,0.285187930041594,0.282559733021237,0.282559733021237,0.687944864093146,0.689385581085997,0.689953914474235,0.688539011054875,0.688155285714731,0.688155285714731,0.689953914474235,0.00389321468298109,0.0018274273001748
"grueptlxijwpfcbf0gfn","Friday","afternoon",0,7,1,26,0.380994896012857,0.395592920305125,0.380994896012857,0.369490831358744,0.369490831358744,0.369490831358744,0.369490831358744,0.702705200296558,0.698493327315566,0.702549130007582,0.702549130007582,0.702549130007582,0.702549130007582,0.698493327315566,0.00418714727835427,0.0138357910067358
"grueptlxijwpfcbf0gfn","Monday","morning",0,7,3,225,0.221129722518206,0.24107441544735,0.22615636348543,0.214640802973828,0.211998973369807,0.210529010568642,0.209700748268749,0.646214378648848,0.645847305013281,0.644662048773588,0.644040059509869,0.643682459974614,0.643186741994092,0.644013514156855,0.00384744686414404,0.00481864704344253
"grueptlxijwpfcbf0gfn","Monday","afternoon",0,7,2,107,0.243357682140353,0.264334597343889,0.249575999548085,0.243357682140353,0.240202854601011,0.238274169571657,0.238274169571657,0.680142737223372,0.676997744061928,0.675081043418245,0.674760159647853,0.674318827216809,0.674318827216809,0.675081043418245,0.00476598989610142,0.0180154418072634
"grueptlxijwpfcbf0gfn","Tuesday","morning",0,7,2,9,0.439569900686954,0.439569900686954,0.439569900686954,0.439569900686954,0.439569900686954,0.439569900686954,0.439569900686954,0.717518180543331,0.717518180543331,0.717518180543331,0.717518180543331,0.717518180543331,0.717518180543331,0.717518180543331,0.00610583446404342,0.00881953867028494
"grueptlxijwpfcbf0gfn","Tuesday","afternoon",0,7,3,87,0.261900916358781,0.287910216415778,0.26442683783367,0.257780638809025,0.253995208182926,0.248088871277759,0.246780514700814,0.691971536320326,0.687981218830502,0.683766235364067,0.685746001594431,0.685487512391052,0.685247377004816,0.686342981205491,0.0047200981780421,0.0306334371754933
"grueptlxijwpfcbf0gfn","Wednesday","morning",0,7,2,52,0.282270572552037,0.357935438214927,0.303210734188382,0.275624985118393,0.268433768178087,0.264698880883011,0.260349646293163,0.689412591277052,0.688261732533689,0.683024041420724,0.680813606550995,0.682094879310559,0.681435236847245,0.68448547136911,0.00513282305267897,0.0161188653759568
"grueptlxijwpfcbf0gfn","Wednesday","afternoon",0,6,1,165,0.210703176044121,0.230131913079596,0.218232490922751,0.201389564380524,0.200352752802145,0.195679217799932,0.194670754326914,0.676796375008749,0.674277460913239,0.673051424903402,0.672884029517288,0.672598304066389,0.672320540915826,0.674683592722752,0.00445714839397316,0.00685528801899133
"grueptlxijwpfcbf0gfn","Thursday","morning",0,7,1,3,0.831786039270715,0.831786039270715,0.831786039270715,0.831786039270715,0.831786039270715,0.831786039270715,0.831786039270715,0.784512723303133,0.784512723303133,0.784512723303133,0.784512723303133,0.784512723303133,0.784512723303133,0.784512723303133,0.00837520938023451,0
"grueptlxijwpfcbf0gfn","Thursday","afternoon",0,7,2,3,0.187109072379734,0.187109072379734,0.187109072379734,0.187109072379734,0.187109072379734,0.187109072379734,0.187109072379734,0.561111111111111,0.561111111111111,0.561111111111111,0.561111111111111,0.561111111111111,0.561111111111111,0.561111111111111,0.00972972972972973,0
