"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv1","iv2","dframe","Log_loss","Score_log","Score_spherical"
90994.6221815304,91067.4348286335,0.538415888438378,0.0132840370722962,0.532201637650568,16.0899277825989,16.2160124446715,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_y_flips","p_thresh_1000_by_participant",NA,NA,NA
90992.8555090049,91065.668156108,0.538746145215719,0.0135127456895387,0.532427963190776,16.0884881165215,16.2145639855257,"arousal","mo_ep_sd_abs_jerk_mean","mo_ep_mean_y_flips","p_thresh_1000_by_participant",NA,NA,NA
88491.9205767337,88564.7332238369,0.629742752293842,0.017482579742836,0.623154521159282,14.2772292589565,14.3898765934405,"valence","mo_ep_mean_speed_mean","mo_ep_mean_angle_mean","p_thresh_1000_by_participant",NA,NA,NA
88490.4832338452,88563.2958809484,0.629940821801092,0.0176416811725653,0.62329511431163,14.2762057563334,14.38884609483,"valence","mo_ep_mean_speed_mean","mo_ep_sd_angle_sd","p_thresh_1000_by_participant",NA,NA,NA
88489.3576335425,88562.1702806456,0.629833782811985,0.017489533733396,0.623244504870679,14.2754817485284,14.3881159375359,"valence","mo_ep_mean_speed_mean","mo_ep_mean_y_flips","p_thresh_1000_by_participant",NA,NA,NA
88490.0960136578,88562.9086607609,0.629887486134182,0.0176961121679516,0.623219944000569,14.2759844962118,14.3886225068331,"valence","mo_ep_sd_abs_jerk_mean","mo_ep_mean_y_flips","p_thresh_1000_by_participant",NA,NA,NA
3761.4898341822,3827.02121657502,0.495645286307687,0.0425617210591838,0.47322482839284,0.207604727201632,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_angle_mean","p_thresh_1000_by_participant",0.156394819949686,-30.1236964214099,0.00470328566669732
3761.07367609152,3826.60505848434,0.495715488416504,0.0427559587263835,0.473191276372382,0.207545069317652,1,"stress","mo_ep_mean_speed_mean","mo_ep_sd_angle_sd","p_thresh_1000_by_participant",0.15637707145616,-30.1244446136156,0.00469770837857839
3760.55157211823,3826.08295451105,0.495797169484874,0.0428020566920284,0.473251239160987,0.207579836806953,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_y_flips","p_thresh_1000_by_participant",0.15635174914926,-30.1270759987175,0.00470308900109764
3759.99646117038,3825.52784356319,0.495926234080507,0.042877717491607,0.473344446021637,0.207562415723956,1,"stress","mo_ep_sd_abs_jerk_mean","mo_ep_mean_y_flips","p_thresh_1000_by_participant",0.156323060897637,-30.1289328837347,0.00469263945367304
90991.7764145319,91064.5890616351,0.538919202327229,0.0136046122225676,0.532559860491959,16.0876120638385,16.213682517159,"arousal","mo_ep_mean_speed_mean","mo_ep_sd_angle_mean","p_thresh_2000_by_participant",NA,NA,NA
90993.8307624155,91066.6434095186,0.538671650377763,0.0135595678391565,0.532330250685613,16.0892688898053,16.2153498267092,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_angle_sd","p_thresh_2000_by_participant",NA,NA,NA
90999.1014763083,91071.9141234115,0.538342545221535,0.0131811538261351,0.532176086250863,16.093298002848,16.2194088434038,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_2000_by_participant",NA,NA,NA
90996.9760336208,91069.788680724,0.538425217184138,0.0132622210335909,0.532221434453078,16.0916817535947,16.2177803880485,"arousal","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_2000_by_participant",NA,NA,NA
88488.7100931947,88561.5227402978,0.630056734749902,0.0177668389393907,0.623365123561257,14.2749931236305,14.3876243610353,"valence","mo_ep_mean_speed_mean","mo_ep_sd_angle_mean","p_thresh_2000_by_participant",NA,NA,NA
88490.3475797584,88563.1602268615,0.629957749156186,0.0177545111007336,0.623269075780135,14.2761281525931,14.3887676243198,"valence","mo_ep_mean_speed_mean","mo_ep_mean_angle_sd","p_thresh_2000_by_participant",NA,NA,NA
88490.9744953802,88563.7871424834,0.629830698809661,0.0175285304280729,0.62322641149913,14.2765655480073,14.3892081635913,"valence","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_2000_by_participant",NA,NA,NA
88488.9563715192,88561.7690186223,0.630029569014371,0.01771534770543,0.623357211047332,14.2751606789937,14.3877931807407,"valence","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_2000_by_participant",NA,NA,NA
3761.68259595731,3827.21397835012,0.495749811817091,0.0425362716290604,0.47334799925961,0.207582031177856,1,"stress","mo_ep_mean_speed_mean","mo_ep_sd_angle_mean","p_thresh_2000_by_participant",0.156401309616107,-30.1226245166995,0.00470707008439912
3761.74484314903,3827.27622554185,0.495946762550111,0.0425687038931626,0.473535866751485,0.207581145788225,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_angle_sd","p_thresh_2000_by_participant",0.156399830147476,-30.1226896807849,0.00471073748207175
3761.11644696579,3826.6478293586,0.495758195870288,0.0425007207233956,0.473376309472871,0.207586464768543,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_2000_by_participant",0.156374890618335,-30.1246838660827,0.00470650867541031
3760.36483516789,3825.89621756071,0.496372451130469,0.0428921235889907,0.473802732918625,0.207564074458236,1,"stress","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_2000_by_participant",0.156329386901674,-30.1275039091085,0.00469496634410253
90993.2288398676,91066.0414869707,0.538804484266417,0.0135877696687377,0.532451543530942,16.0887558501999,16.214834039044,"arousal","mo_ep_mean_speed_sd","mo_ep_sd_angle_mean","p_thresh_3000_by_participant",NA,NA,NA
90992.5476298181,91065.3602769212,0.538732901633956,0.0136472897473352,0.532350756913432,16.088296895888,16.2143704176272,"arousal","mo_ep_mean_speed_sd","mo_ep_mean_angle_sd","p_thresh_3000_by_participant",NA,NA,NA
90990.1950818392,91063.0077289423,0.53858086725019,0.0139524506145177,0.532051843709391,16.0866870399049,16.2127446076837,"arousal","mo_ep_sd_abs_jerk_mean","mo_ep_sd_angle_mean","p_thresh_3000_by_participant",NA,NA,NA
88490.3030039967,88563.1156510998,0.629949228525802,0.0176947226742295,0.623283331550834,14.2760916270261,14.3887309385741,"valence","mo_ep_mean_speed_sd","mo_ep_sd_angle_mean","p_thresh_3000_by_participant",NA,NA,NA
88489.2349298355,88562.0475769387,0.630016913298292,0.017847490431624,0.623293650326971,14.2753764433836,14.3880102255608,"valence","mo_ep_mean_speed_sd","mo_ep_mean_angle_sd","p_thresh_3000_by_participant",NA,NA,NA
88489.2588889666,88562.0715360697,0.629849934742944,0.0179031278640046,0.623102286791725,14.2754845185597,14.3881177107573,"valence","mo_ep_sd_abs_jerk_mean","mo_ep_sd_angle_mean","p_thresh_3000_by_participant",NA,NA,NA
3761.37064471143,3826.90202710425,0.495444310461961,0.0422511919097951,0.473185781829219,0.207563208407178,1,"stress","mo_ep_mean_speed_sd","mo_ep_sd_angle_mean","p_thresh_3000_by_participant",0.156389632196678,-30.1237028315401,0.00470365379716873
3761.30852677854,3826.83990917136,0.495738433562553,0.0424380265238661,0.473390150815116,0.207563998620881,1,"stress","mo_ep_mean_speed_sd","mo_ep_mean_angle_sd","p_thresh_3000_by_participant",0.156382244189071,-30.1240638170264,0.004702763207585
3761.5322325863,3827.06361497911,0.495889781654941,0.042497288911612,0.473515622977151,0.207579382067047,1,"stress","mo_ep_sd_abs_jerk_mean","mo_ep_sd_angle_mean","p_thresh_3000_by_participant",0.156390239337017,-30.1238154362101,0.00470684861176131
