"AIC","BIC","R2_conditional","R2_marginal","RMSE","Sigma","dv","iv1","iv2","dframe","ICC","Log_loss","Score_log","Score_spherical"
90997.0163341571,91084.3915106809,NA,0.0296871049306773,16.0897888104296,16.2158494126141,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",NA,NA,NA,NA
90996.5982702334,91083.9734467572,0.537170240374303,0.0139852554792536,16.0807246975517,16.210982767581,"arousal","mo_ep_mean_speed_mean","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",0.530605640333851,NA,NA,NA
90993.1390709302,91080.514247454,NA,0.0289448644651507,16.0862618306299,16.2123079210514,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,NA,NA,NA
91000.7920732242,91088.167249748,0.538760276242771,0.0141972560895133,16.0878208269161,16.2158146117438,"arousal","mo_ep_sd_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",0.532117630422105,NA,NA,NA
88495.5979602802,88582.9731368039,NA,0.0453586631562104,14.2771070457579,14.3897519010512,"valence","mo_ep_mean_speed_mean","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",NA,NA,NA,NA
88489.6584822374,88577.0336587612,0.630590548348124,0.0174682491904185,14.24268186377,14.3692747129964,"valence","mo_ep_mean_speed_mean","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",0.624022886438538,NA,NA,NA
88485.2379813729,88572.6131578966,0.630040515630644,0.0163066660967411,14.2539554462586,14.3741060298828,"valence","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",0.623907704140506,NA,NA,NA
88467.6824259981,88555.0576025218,0.633696074318967,0.0173265740081015,14.1829965989463,14.3276583782516,"valence","mo_ep_sd_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",0.627237375111381,NA,NA,NA
3764.84986388546,3844.9437756989,NA,0.079255440432948,0.207540516860488,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",NA,0.156379312541681,-Inf,0.00469673789774286
3759.00451943162,3839.09843124506,0.501195214025168,0.0472012911126199,0.207059344524508,1,"stress","mo_ep_mean_speed_mean","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",0.476484611784051,0.155603363348168,-Inf,0.00459900485761517
3761.33780310145,3841.43171491489,NA,0.079665765862475,0.207567469561192,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,0.156257658465137,-Inf,0.00459515128149434
3759.95641907551,3840.05033088895,0.498129447565322,0.0444349827214218,0.207091135837605,1,"stress","mo_ep_sd_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",0.474791831680914,0.155386462563152,-Inf,0.00464597014584414
90993.3016982902,91080.676874814,0.537670484738275,0.0137214852391717,16.0822704599845,16.2103817939017,"arousal","mo_ep_mean_speed_mean","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",0.531238379076077,NA,NA,NA
90994.4461778372,91081.821354361,NA,0.0299102445972304,16.0878316146499,16.2138788008777,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",NA,NA,NA,NA
90999.5450474692,91086.920223993,NA,0.0284436503964875,16.091091582439,16.2171751275036,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA,NA
90995.8375022717,91083.2126787955,NA,0.0295476017008209,16.0879043873465,16.2139704809919,"arousal","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA,NA
88488.014814649,88575.3899911727,0.631174298627518,0.0172351936729108,14.2290369824282,14.3609544374434,"valence","mo_ep_mean_speed_mean","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",0.624706034446936,NA,NA,NA
88490.5159478892,88577.891124413,0.629478399553943,0.0180287421024746,14.2612538844556,14.3797280326192,"valence","mo_ep_mean_speed_mean","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",0.622675717373468,NA,NA,NA
88488.9638945305,88576.3390710543,0.630226672232608,0.0168306589624293,14.2584785308091,14.3776728118554,"valence","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",0.623896604244028,NA,NA,NA
88485.0988430423,88572.4740195661,0.631688725001862,0.0171196303171631,14.2274995264358,14.3593806007765,"valence","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",0.625273546650456,NA,NA,NA
3762.95357232859,3843.04748414203,0.48648077643806,0.0421459837820334,0.207239573794164,1,"stress","mo_ep_mean_speed_mean","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",0.463885712366126,0.156262006432981,-Inf,0.00445028228030893
3763.27385847473,3843.36777028817,NA,0.0833193481084224,0.207501917311689,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",NA,0.156328395935452,-Inf,0.00464858796673127
3762.65877361284,3842.75268542628,NA,0.0794835738739114,0.207507129371026,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,0.156265489170828,-Inf,0.00466864785965774
3760.79340985253,3840.88732166597,0.49988121414757,0.0440234040290194,0.207194510661286,1,"stress","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",0.47685038738374,0.155585702798158,-Inf,0.00466365093673196
