"AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","pseudo_R2","iv","dv","dframe"
21581.2068865051,21581.217335241,21632.1705209513,0.560107094449728,0.0219506557947262,0.550234445576248,0.63302715829256,0.63868780874384,0.567256840911862,"clicks","arousal","cutoff_0"
21523.9945996795,21524.0050484154,21574.9582341257,0.565429687023084,0.00192407275762513,0.564591930217566,0.628219013646927,0.6350014098859,0.573851967212167,"task_total_dist","arousal","cutoff_0"
21578.6334158905,21578.6438646264,21629.5970503367,0.560362134933664,0.0179817721238276,0.552311909711546,0.633461606662794,0.638859776037201,0.566652644077253,"task_angle_sd","arousal","cutoff_0"
21548.2445700589,21548.2550187947,21599.208204505,0.563183106569323,0.00277404712099036,0.561967985119542,0.63031084664282,0.636610841025615,0.570988250604334,"task_x_flips","arousal","cutoff_0"
21555.9045662883,21555.9150150242,21606.8682007345,0.563551146839729,0.0102370995286238,0.559036964355392,0.630129558132173,0.636616466908063,0.571243188270412,"task_y_flips","arousal","cutoff_0"
21582.2879941667,21582.2984429025,21633.2516286128,0.559908751456957,0.0118614888347442,0.554625952161232,0.632765741945672,0.638521648418078,0.56761789419681,"trial_sd_duration","arousal","cutoff_0"
21519.992332185,21520.0027809209,21570.9559666312,0.565507102891044,0.016514830937717,0.558211032787379,0.628755420093429,0.635338217928309,0.573114963867859,"trial_mean_trial_move_offset","arousal","cutoff_0"
21581.8822658816,21581.8927146175,21632.8459003278,0.55808171116221,0.0226937698760944,0.547820043281866,0.634312649000161,0.639393615027965,0.565476069915931,"trial_sd_trial_move_offset","arousal","cutoff_0"
21576.256824317,21576.2672730529,21627.2204587632,0.561135896314315,0.000733123623276202,0.560813918623044,0.631991455451247,0.637944051287006,0.568683193182342,"trial_sd_total_dist","arousal","cutoff_0"
21533.5294722699,21533.5399210058,21584.4931067161,0.563798332721661,0.00860097299390504,0.56001402523501,0.629315512669366,0.635848442504713,0.572352042500999,"trial_sd_distance_overshoot","arousal","cutoff_0"
21500.4993752668,21500.5098240027,21551.4630097129,0.565757538663798,0.00979192292585544,0.56146342229474,0.626689554254217,0.633772984258233,0.575938062685943,"trial_mean_speed_mean","arousal","cutoff_0"
21569.7849893104,21569.7954380463,21620.7486237566,0.560497098104666,0.0102819820222221,0.555931190589679,0.631172513092874,0.637429094424701,0.569812886862893,"trial_sd_speed_mean","arousal","cutoff_0"
21538.230864674,21538.2413134099,21589.1944991202,0.563890443797803,0.0144992755740092,0.557474139396284,0.629048390802352,0.635741548522373,0.57272219911504,"trial_mean_speed_sd","arousal","cutoff_0"
21577.9973427971,21578.0077915329,21628.9609772432,0.561394424202802,0.0114642949311534,0.556307806032509,0.632061189601466,0.638045647557378,0.568589347804174,"trial_sd_speed_sd","arousal","cutoff_0"
21584.9175943882,21584.9280431241,21635.8812288344,0.560175476906758,0.000652532799117803,0.559888289580433,0.632991293944417,0.63862643686489,0.567304860362005,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
21544.5999303132,21544.6103790491,21595.5635647594,0.563381215663593,0.01375957103453,0.557289712008253,0.630231153277176,0.636554047153532,0.571097698974306,"trial_mean_angle_mean","arousal","cutoff_0"
21587.8279618348,21587.8384105707,21638.791596281,NA,0.0195067867436644,NA,0.634610770545571,0.639568524015869,0.565063273520799,"trial_sd_angle_mean","arousal","cutoff_0"
21567.0284085063,21567.0388572422,21617.9920429525,0.561517761918458,0.0125395224816851,0.555949581715376,0.631444265521709,0.63755637534822,0.569436259378168,"trial_mean_angle_sd","arousal","cutoff_0"
21583.990939321,21584.0013880569,21634.9545737672,NA,0.0444803464366965,NA,0.634615527677551,0.639570987092647,0.565056674398572,"trial_sd_angle_sd","arousal","cutoff_0"
