"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"within","trial_sd_abs_jerk_sd_within",-0.0194214617734393,0.95,-0.0405686885049438,0.00172576495806532,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
"between","trial_sd_abs_jerk_sd_between",-0.0270976654420533,0.95,-0.179024274357694,0.124828943473587,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_mean","arousal","cutoff_0"
"within","trial_mean_angle_mean_within",-0.0391580338874281,0.95,-0.0628442309075734,-0.0154718368672828,"trial_mean_angle_mean","arousal","cutoff_0"
"between","trial_mean_angle_mean_between",-0.155944183770221,0.95,-0.305191723672252,-0.00669664386819018,"trial_mean_angle_mean","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_mean","arousal","cutoff_0"
"within","trial_sd_angle_mean_within",0.00551011828174955,0.95,-0.013438896222726,0.0244591327862251,"trial_sd_angle_mean","arousal","cutoff_0"
"between","trial_sd_angle_mean_between",-0.125099313913726,0.95,-0.276005154893882,0.0258065270664305,"trial_sd_angle_mean","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_sd","arousal","cutoff_0"
"within","trial_mean_angle_sd_within",-0.0307296212370965,0.95,-0.0533278604836508,-0.0081313819905421,"trial_mean_angle_sd","arousal","cutoff_0"
"between","trial_mean_angle_sd_between",-0.14912045058393,0.95,-0.29965747621321,0.00141657504534961,"trial_mean_angle_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_sd","arousal","cutoff_0"
"within","trial_sd_angle_sd_within",0.00664192966735205,0.95,-0.012288422378389,0.0255722817130931,"trial_sd_angle_sd","arousal","cutoff_0"
"between","trial_sd_angle_sd_between",-0.196558786240971,0.95,-0.345765010898872,-0.0473525615830702,"trial_sd_angle_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_x_flips","arousal","cutoff_0"
"within","trial_sd_x_flips_within",-0.0315696310299556,0.95,-0.050600854815156,-0.0125384072447553,"trial_sd_x_flips","arousal","cutoff_0"
"between","trial_sd_x_flips_between",0.0128400378500092,0.95,-0.139090878089228,0.164770953789247,"trial_sd_x_flips","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_y_flips","arousal","cutoff_0"
"within","trial_sd_y_flips_within",-0.0118571557303251,0.95,-0.0317010645196057,0.00798675305895554,"trial_sd_y_flips","arousal","cutoff_0"
"between","trial_sd_y_flips_between",-0.0880173302457057,0.95,-0.239456946077874,0.063422285586463,"trial_sd_y_flips","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"clicks","valence","cutoff_0"
"within","clicks_within",0.00384695798150919,0.95,-0.0187369898362258,0.0264309057992442,"clicks","valence","cutoff_0"
"between","clicks_between",-0.237285746396729,0.95,-0.384694771806979,-0.0898767209864786,"clicks","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_total_dist","valence","cutoff_0"
"within","task_total_dist_within",-0.00816103624428961,0.95,-0.0349350831440513,0.0186130106554721,"task_total_dist","valence","cutoff_0"
"between","task_total_dist_between",-0.00552224024013765,0.95,-0.157225695974292,0.146181215494017,"task_total_dist","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_angle_sd","valence","cutoff_0"
"within","task_angle_sd_within",0.00436321163490798,0.95,-0.0174018411313425,0.0261282644011584,"task_angle_sd","valence","cutoff_0"
"between","task_angle_sd_between",-0.104158706718417,0.95,-0.254911954254633,0.0465945408177987,"task_angle_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_x_flips","valence","cutoff_0"
"within","task_x_flips_within",-0.0134760597282316,0.95,-0.0367458335351563,0.00979371407869322,"task_x_flips","valence","cutoff_0"
"between","task_x_flips_between",-0.0447213265400099,0.95,-0.196197067304158,0.106754414224138,"task_x_flips","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_y_flips","valence","cutoff_0"
"within","task_y_flips_within",0.00196377984328052,0.95,-0.0205513099894497,0.0244788696760108,"task_y_flips","valence","cutoff_0"
"between","task_y_flips_between",-0.100647548645094,0.95,-0.25143063022809,0.0501355329379026,"task_y_flips","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_duration","valence","cutoff_0"
"within","trial_sd_duration_within",-0.00119324635403514,0.95,-0.0227829541569655,0.0203964614488952,"trial_sd_duration","valence","cutoff_0"
"between","trial_sd_duration_between",0.0399214205755433,0.95,-0.11196297658224,0.191805817733326,"trial_sd_duration","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_trial_move_offset","valence","cutoff_0"
"within","trial_mean_trial_move_offset_within",0.00134556712397245,0.95,-0.0221773098551973,0.0248684441031422,"trial_mean_trial_move_offset","valence","cutoff_0"
"between","trial_mean_trial_move_offset_between",0.109761345717005,0.95,-0.0406470521339966,0.260169743568007,"trial_mean_trial_move_offset","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_trial_move_offset","valence","cutoff_0"
"within","trial_sd_trial_move_offset_within",0.00319235531496324,0.95,-0.0164946499296072,0.0228793605595336,"trial_sd_trial_move_offset","valence","cutoff_0"
"between","trial_sd_trial_move_offset_between",0.153714292718719,0.95,0.00367064153343335,0.303757943904004,"trial_sd_trial_move_offset","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_total_dist","valence","cutoff_0"
"within","trial_sd_total_dist_within",-0.0181422516111502,0.95,-0.0412581903157821,0.00497368709348168,"trial_sd_total_dist","valence","cutoff_0"
"between","trial_sd_total_dist_between",-0.0212423139441952,0.95,-0.172458390351775,0.129973762463384,"trial_sd_total_dist","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_distance_overshoot","valence","cutoff_0"
"within","trial_sd_distance_overshoot_within",0.00371494994451331,0.95,-0.0190134868631827,0.0264433867522093,"trial_sd_distance_overshoot","valence","cutoff_0"
"between","trial_sd_distance_overshoot_between",-0.126353858641806,0.95,-0.276955123456484,0.0242474061728731,"trial_sd_distance_overshoot","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_mean","valence","cutoff_0"
"within","trial_mean_speed_mean_within",0.0130332818010774,0.95,-0.0152971821641875,0.0413637457663424,"trial_mean_speed_mean","valence","cutoff_0"
"between","trial_mean_speed_mean_between",-0.0905785964849971,0.95,-0.241233807907896,0.0600766149379022,"trial_mean_speed_mean","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_mean","valence","cutoff_0"
"within","trial_sd_speed_mean_within",0.000835896188821229,0.95,-0.021760102453273,0.0234318948309155,"trial_sd_speed_mean","valence","cutoff_0"
"between","trial_sd_speed_mean_between",-0.118089542026565,0.95,-0.268813676772897,0.0326345927197662,"trial_sd_speed_mean","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_sd","valence","cutoff_0"
"within","trial_mean_speed_sd_within",0.00662855832021729,0.95,-0.0190667914648516,0.0323239081052862,"trial_mean_speed_sd","valence","cutoff_0"
"between","trial_mean_speed_sd_between",-0.105969876918323,0.95,-0.256624765182314,0.0446850113456673,"trial_mean_speed_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_sd","valence","cutoff_0"
"within","trial_sd_speed_sd_within",-0.0078311725238397,0.95,-0.0296444133309833,0.0139820682833039,"trial_sd_speed_sd","valence","cutoff_0"
"between","trial_sd_speed_sd_between",-0.108789499433077,0.95,-0.259703215196465,0.0421242163303117,"trial_sd_speed_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_abs_jerk_sd","valence","cutoff_0"
"within","trial_sd_abs_jerk_sd_within",-0.0106860696689332,0.95,-0.0349137944717864,0.0135416551339199,"trial_sd_abs_jerk_sd","valence","cutoff_0"
"between","trial_sd_abs_jerk_sd_between",0.0223487911774762,0.95,-0.12924405621497,0.173941638569923,"trial_sd_abs_jerk_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_mean","valence","cutoff_0"
"within","trial_mean_angle_mean_within",0.0111245832493079,0.95,-0.0118924056513259,0.0341415721499418,"trial_mean_angle_mean","valence","cutoff_0"
"between","trial_mean_angle_mean_between",-0.075690770098072,0.95,-0.226939168308399,0.0755576281122554,"trial_mean_angle_mean","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_mean","valence","cutoff_0"
"within","trial_sd_angle_mean_within",0.00368505188846942,0.95,-0.0153413100448057,0.0227114138217445,"trial_sd_angle_mean","valence","cutoff_0"
"between","trial_sd_angle_mean_between",-0.0467081510009804,0.95,-0.198292812267212,0.104876510265251,"trial_sd_angle_mean","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_sd","valence","cutoff_0"
"within","trial_mean_angle_sd_within",-0.00645318312598657,0.95,-0.0272214870470087,0.0143151207950356,"trial_mean_angle_sd","valence","cutoff_0"
"between","trial_mean_angle_sd_between",-0.0919444395072675,0.95,-0.243077055275251,0.0591881762607163,"trial_mean_angle_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_sd","valence","cutoff_0"
"within","trial_sd_angle_sd_within",0.0089716756774534,0.95,-0.0109472743966762,0.028890625751583,"trial_sd_angle_sd","valence","cutoff_0"
"between","trial_sd_angle_sd_between",-0.17431842968124,0.95,-0.32372034919304,-0.0249165101694395,"trial_sd_angle_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_x_flips","valence","cutoff_0"
"within","trial_sd_x_flips_within",-0.00770964784970163,0.95,-0.0276942970074251,0.0122750013080219,"trial_sd_x_flips","valence","cutoff_0"
"between","trial_sd_x_flips_between",-0.0231463228993528,0.95,-0.174969298328664,0.128676652529958,"trial_sd_x_flips","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_y_flips","valence","cutoff_0"
"within","trial_sd_y_flips_within",-0.00520751393011691,0.95,-0.0251604517669981,0.0147454239067643,"trial_sd_y_flips","valence","cutoff_0"
"between","trial_sd_y_flips_between",-0.0951360359497465,0.95,-0.246127227590106,0.055855155690613,"trial_sd_y_flips","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"clicks","arousal","iqr_out_2.5"
"within","clicks_within",0.00278699497509267,0.95,-0.0182101074505124,0.0237840974006977,"clicks","arousal","iqr_out_2.5"
"between","clicks_between",-0.265907110034506,0.95,-0.41374318856773,-0.118071031501282,"clicks","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_angle_sd","arousal","iqr_out_2.5"
"within","task_angle_sd_within",-0.0313133135699133,0.95,-0.0522631919327297,-0.0103634352070969,"task_angle_sd","arousal","iqr_out_2.5"
"between","task_angle_sd_between",-0.160655181501835,0.95,-0.311269613424238,-0.0100407495794315,"task_angle_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_x_flips","arousal","iqr_out_2.5"
"within","task_x_flips_within",-0.041479252536453,0.95,-0.0661063400864365,-0.0168521649864695,"task_x_flips","arousal","iqr_out_2.5"
"between","task_x_flips_between",-0.0580525118737963,0.95,-0.209855614190111,0.093750590442518,"task_x_flips","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_y_flips","arousal","iqr_out_2.5"
"within","task_y_flips_within",-0.031723382253825,0.95,-0.0584995784809973,-0.00494718602665278,"task_y_flips","arousal","iqr_out_2.5"
"between","task_y_flips_between",-0.146790663938748,0.95,-0.297785104174537,0.0042037762970403,"task_y_flips","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_duration","arousal","iqr_out_2.5"
"within","trial_mean_duration_within",0.0262158554747172,0.95,-0.000357661421819602,0.052789372371254,"trial_mean_duration","arousal","iqr_out_2.5"
"between","trial_mean_duration_between",0.181813063440235,0.95,0.0318847004397299,0.331741426440741,"trial_mean_duration","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_duration","arousal","iqr_out_2.5"
"within","trial_sd_duration_within",0.00430858419589762,0.95,-0.0187230003228077,0.027340168714603,"trial_sd_duration","arousal","iqr_out_2.5"
"between","trial_sd_duration_between",0.101457832777836,0.95,-0.0506414614941494,0.253557127049821,"trial_sd_duration","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_trial_move_offset","arousal","iqr_out_2.5"
"within","trial_mean_trial_move_offset_within",0.0487951306719814,0.95,0.0213516171698041,0.0762386441741586,"trial_mean_trial_move_offset","arousal","iqr_out_2.5"
"between","trial_mean_trial_move_offset_between",0.143011847434797,0.95,-0.00567635825152714,0.291700053121121,"trial_mean_trial_move_offset","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_trial_move_offset","arousal","iqr_out_2.5"
"within","trial_sd_trial_move_offset_within",0.00879581422970368,0.95,-0.0137503801617295,0.0313420086211368,"trial_sd_trial_move_offset","arousal","iqr_out_2.5"
"between","trial_sd_trial_move_offset_between",0.11747436233667,0.95,-0.0341885391775687,0.26913726385091,"trial_sd_trial_move_offset","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_total_dist","arousal","iqr_out_2.5"
"within","trial_mean_total_dist_within",-0.0556984391075005,0.95,-0.0839156722368117,-0.0274812059781892,"trial_mean_total_dist","arousal","iqr_out_2.5"
"between","trial_mean_total_dist_between",-0.0344115920495978,0.95,-0.185589619170316,0.11676643507112,"trial_mean_total_dist","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_total_dist","arousal","iqr_out_2.5"
"within","trial_sd_total_dist_within",-0.00737141942421662,0.95,-0.0301049701658788,0.0153621313174456,"trial_sd_total_dist","arousal","iqr_out_2.5"
"between","trial_sd_total_dist_between",-0.0416961567432854,0.95,-0.194348755706421,0.110956442219851,"trial_sd_total_dist","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_distance_overshoot","arousal","iqr_out_2.5"
"within","trial_sd_distance_overshoot_within",-0.052400476098894,0.95,-0.0780906135162633,-0.0267103386815247,"trial_sd_distance_overshoot","arousal","iqr_out_2.5"
"between","trial_sd_distance_overshoot_between",-0.138021803815297,0.95,-0.285988382837158,0.00994477520656414,"trial_sd_distance_overshoot","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_mean","arousal","iqr_out_2.5"
"within","trial_mean_speed_mean_within",-0.060119955420284,0.95,-0.0891372008385944,-0.0311027100019735,"trial_mean_speed_mean","arousal","iqr_out_2.5"
"between","trial_mean_speed_mean_between",-0.112513425650911,0.95,-0.262669945619858,0.0376430943180352,"trial_mean_speed_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_mean","arousal","iqr_out_2.5"
"within","trial_sd_speed_mean_within",-0.0186966862017159,0.95,-0.0444238318180211,0.00703045941458929,"trial_sd_speed_mean","arousal","iqr_out_2.5"
"between","trial_sd_speed_mean_between",-0.132274262871315,0.95,-0.283839528675757,0.0192910029331272,"trial_sd_speed_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_sd","arousal","iqr_out_2.5"
"within","trial_sd_speed_sd_within",-0.0105509762405534,0.95,-0.0346485021598711,0.0135465496787643,"trial_sd_speed_sd","arousal","iqr_out_2.5"
"between","trial_sd_speed_sd_between",-0.173466904204959,0.95,-0.323904690342544,-0.0230291180673751,"trial_sd_speed_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_abs_jerk_mean","arousal","iqr_out_2.5"
"within","trial_sd_abs_jerk_mean_within",-0.0276269610910311,0.95,-0.0490631269439028,-0.00619079523815935,"trial_sd_abs_jerk_mean","arousal","iqr_out_2.5"
"between","trial_sd_abs_jerk_mean_between",-0.0899455325679949,0.95,-0.241708793962179,0.0618177288261894,"trial_sd_abs_jerk_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_abs_jerk_sd","arousal","iqr_out_2.5"
"within","trial_sd_abs_jerk_sd_within",-0.0207390578918859,0.95,-0.042586828768706,0.00110871298493415,"trial_sd_abs_jerk_sd","arousal","iqr_out_2.5"
"between","trial_sd_abs_jerk_sd_between",-0.0856864860398618,0.95,-0.237131700373502,0.0657587282937788,"trial_sd_abs_jerk_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_mean","arousal","iqr_out_2.5"
"within","trial_mean_angle_mean_within",-0.0450309002704718,0.95,-0.0699315665107765,-0.0201302340301671,"trial_mean_angle_mean","arousal","iqr_out_2.5"
"between","trial_mean_angle_mean_between",-0.13908490371663,0.95,-0.289384259248673,0.0112144518154139,"trial_mean_angle_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_mean","arousal","iqr_out_2.5"
"within","trial_sd_angle_mean_within",0.00138898769773266,0.95,-0.0195924157755613,0.0223703911710266,"trial_sd_angle_mean","arousal","iqr_out_2.5"
"between","trial_sd_angle_mean_between",-0.13038100264386,0.95,-0.282062618665771,0.0213006133780513,"trial_sd_angle_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_sd","arousal","iqr_out_2.5"
"within","trial_mean_angle_sd_within",-0.0318038586593228,0.95,-0.0548063657633114,-0.00880135155533423,"trial_mean_angle_sd","arousal","iqr_out_2.5"
"between","trial_mean_angle_sd_between",-0.155212888105273,0.95,-0.306029874284031,-0.00439590192651446,"trial_mean_angle_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_sd","arousal","iqr_out_2.5"
"within","trial_sd_angle_sd_within",-0.000258352023553045,0.95,-0.021209645892573,0.0206929418454669,"trial_sd_angle_sd","arousal","iqr_out_2.5"
"between","trial_sd_angle_sd_between",-0.180129116184807,0.95,-0.330212160578881,-0.0300460717907322,"trial_sd_angle_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_x_flips","arousal","iqr_out_2.5"
"within","trial_sd_x_flips_within",-0.0236979233630886,0.95,-0.0453001375915052,-0.00209570913467197,"trial_sd_x_flips","arousal","iqr_out_2.5"
"between","trial_sd_x_flips_between",0.0128992654852057,0.95,-0.139622878799566,0.165421409769977,"trial_sd_x_flips","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_y_flips","arousal","iqr_out_2.5"
"within","trial_sd_y_flips_within",-0.00151006353768552,0.95,-0.0225939811427636,0.0195738540673926,"trial_sd_y_flips","arousal","iqr_out_2.5"
"between","trial_sd_y_flips_between",-0.111286414835372,0.95,-0.263003118496332,0.0404302888255872,"trial_sd_y_flips","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"clicks","valence","iqr_out_2.5"
"within","clicks_within",0.0163204947730741,0.95,-0.00471094151235862,0.0373519310585069,"clicks","valence","iqr_out_2.5"
"between","clicks_between",-0.256094510087178,0.95,-0.403648100180247,-0.108540919994108,"clicks","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_angle_sd","valence","iqr_out_2.5"
"within","task_angle_sd_within",0.00457604244001906,0.95,-0.0166563381718832,0.0258084230519213,"task_angle_sd","valence","iqr_out_2.5"
"between","task_angle_sd_between",-0.109125038065557,0.95,-0.260020643726041,0.041770567594926,"task_angle_sd","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_x_flips","valence","iqr_out_2.5"
"within","task_x_flips_within",-0.00074226970253132,0.95,-0.0231828068593559,0.0216982674542933,"task_x_flips","valence","iqr_out_2.5"
"between","task_x_flips_between",-0.0376250282372665,0.95,-0.189341657922319,0.114091601447786,"task_x_flips","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_y_flips","valence","iqr_out_2.5"
"within","task_y_flips_within",0.0129979702255024,0.95,-0.00930967407686865,0.0353056145278734,"task_y_flips","valence","iqr_out_2.5"
"between","task_y_flips_between",-0.101759165821546,0.95,-0.253258595051343,0.0497402634082512,"task_y_flips","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_duration","valence","iqr_out_2.5"
"within","trial_mean_duration_within",0.00854995319286131,0.95,-0.0176531080041969,0.0347530143899195,"trial_mean_duration","valence","iqr_out_2.5"
"between","trial_mean_duration_between",0.138260734306892,0.95,-0.0123540955312998,0.288875564145083,"trial_mean_duration","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_duration","valence","iqr_out_2.5"
"within","trial_sd_duration_within",0.017362671230868,0.95,-0.00750574210055486,0.0422310845622908,"trial_sd_duration","valence","iqr_out_2.5"
"between","trial_sd_duration_between",0.0265489433357199,0.95,-0.125422722476611,0.178520609148051,"trial_sd_duration","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_trial_move_offset","valence","iqr_out_2.5"
"within","trial_mean_trial_move_offset_within",-0.00592814598251926,0.95,-0.0305908558416007,0.0187345638765622,"trial_mean_trial_move_offset","valence","iqr_out_2.5"
"between","trial_mean_trial_move_offset_between",0.0852046140194436,0.95,-0.0661191196146399,0.236528347653527,"trial_mean_trial_move_offset","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_trial_move_offset","valence","iqr_out_2.5"
