"AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","pseudo_R2","iv","dv","dframe"
21601.7203509094,21601.7307918528,21652.6892038816,0.561175013839175,0.000796424214145895,0.560825244429597,0.634030883125369,0.639171683665198,0.565866355493996,"recording_duration","arousal","1000"
21569.6103256023,21569.6207665457,21620.5791785745,0.566956614778529,0.00532365192979607,0.564638903838793,0.628644507624163,0.635579891927719,0.573284115759096,"movement_episodes","arousal","1000"
21584.3371531091,21584.3475940525,21635.3060060813,0.563314694952713,0.0111675856893817,0.558382898125634,0.630802884235467,0.637148233885554,0.570322585966337,"mo_ep_sd_episode_duration","arousal","1000"
21593.4141223487,21593.4245632921,21644.3829753209,0.563206141447686,0.00283405989760841,0.561964723236071,0.631826558357149,0.637840893857278,0.568913003645659,"mo_ep_mean_total_dist","arousal","1000"
21597.1200107828,21597.1304517262,21648.088863755,0.562856453201325,0.000982635015794859,0.562426478136758,0.632308605577646,0.638156556334436,0.568248245110448,"mo_ep_sd_total_dist","arousal","1000"
21592.5262202147,21592.5366611581,21643.4950731869,0.56264021233602,0.0223066003596606,0.552661613727913,0.633280783741957,0.638720706167899,0.566903798470487,"mo_ep_sd_speed_mean","arousal","1000"
21545.7813807366,21545.79182168,21596.7502337088,0.569243190405657,0.0464519889161595,0.548258918704337,0.629089829066935,0.635711863471053,0.572664890177108,"mo_ep_mean_abs_jerk_sd","arousal","1000"
21585.9115389565,21585.9219798999,21636.8803919286,0.564080533654198,0.021794075191528,0.554368405168724,0.631567163378815,0.637659607733964,0.569270095221053,"mo_ep_sd_abs_jerk_sd","arousal","1000"
21569.6207930161,21569.6312339595,21620.5896459883,0.566810614444351,0.0599241536879428,0.539197409171757,0.63123778524249,0.637378870102924,0.569721208773125,"mo_ep_mean_angle_mean","arousal","1000"
21592.6244798142,21592.6349207576,21643.5933327864,0.563052031392047,0.023495095130363,0.552538890046553,0.632683662315181,0.638406948855093,0.567730989105161,"mo_ep_sd_angle_mean","arousal","1000"
21562.503350774,21562.5137917174,21613.4722037462,0.567139520139644,0.0415655049274562,0.548367173671485,0.629880814892022,0.636399321623498,0.571585189286209,"mo_ep_mean_angle_sd","arousal","1000"
21589.9587353132,21589.9691762567,21640.9275882854,0.5638540649691,0.00295367127406014,0.562562016964425,0.631075885731901,0.637347004683308,0.569947435793005,"mo_ep_sd_x_flips","arousal","1000"
21602.8766845741,21602.8871255175,21653.8455375463,0.561429032669283,0.00144879079230987,0.560792713196246,0.633981824641015,0.639146242155723,0.565934372830534,"mo_ep_mean_y_flips","arousal","1000"
21582.1838795513,21582.1943204947,21633.1527325235,0.564882432577748,0.00279381996263362,0.563663386636907,0.630111803167516,0.636663567021721,0.571272502649818,"movement_distance","arousal","1000"
21593.4963825141,21593.5068234575,21644.4652354863,0.560395506115184,0.00988954386806082,0.556004594071032,0.633400454039163,0.638784798612619,0.566738034475982,"lockscreen_episodes.","arousal","1000"
21594.1817825948,21594.1922235382,21645.150635567,0.560972172378775,0.0113840215207399,0.555916718748001,0.633643072073281,0.638921130324229,0.566402167590646,"lockscreen_time","arousal","1000"
19668.0390123487,19668.0494532921,19719.0078653209,0.645129428479984,0.000294454582937428,0.645024904436266,0.577592445905857,0.582410821128904,0.641039226875428,"recording_duration","valence","1000"
19647.1531150065,19647.1635559499,19698.1219679787,0.648621914204166,0.0126572049706262,0.64411743564161,0.573551079389044,0.579804958318193,0.646083737074899,"movement_episodes","valence","1000"
19647.9853243958,19647.9957653392,19698.9541773679,0.646498415300172,0.0164508965305686,0.640585728304906,0.574316099565142,0.580324062001295,0.645131601027598,"mo_ep_sd_episode_duration","valence","1000"
19664.6956336477,19664.7060745912,19715.6644866199,0.645952302185247,0.00349229230877774,0.644711530997552,0.576057868352447,0.581523685553976,0.642960561103361,"mo_ep_mean_total_dist","valence","1000"
19663.5989694067,19663.6094103502,19714.5678223789,0.646672217924014,0.00158388601909612,0.646111699192043,0.575473428930453,0.58115568589881,0.643690606288587,"mo_ep_sd_total_dist","valence","1000"
19664.0831465411,19664.0935874846,19715.0519995133,0.646038741157837,0.0248593875142228,0.637015160367628,0.576828460655468,0.582019971968037,0.641997468588167,"mo_ep_sd_speed_mean","valence","1000"
19638.3368893914,19638.3473303348,19689.3057423636,0.648675561060029,0.0532193150803178,0.628927327589309,0.57433322911254,0.580309612558673,0.645109491953166,"mo_ep_mean_abs_jerk_sd","valence","1000"
19651.6022083403,19651.6126492838,19702.5710613125,0.647255831841202,0.0293761116554464,0.636579964294491,0.575215874280395,0.580948452912193,0.644010863667765,"mo_ep_sd_abs_jerk_sd","valence","1000"
19631.9828230209,19631.9932639643,19682.9516759931,0.649526133005687,0.0705812281337164,0.622910707634452,0.574249122437388,0.580245315784779,0.645214002477383,"mo_ep_mean_angle_mean","valence","1000"
19654.4050736286,19654.415514572,19705.3739266008,0.64706456380364,0.0191832062966392,0.640161711685473,0.575187521424724,0.580950519695345,0.644046825990557,"mo_ep_sd_angle_mean","valence","1000"
19608.17974953,19608.1901904734,19659.1486025022,0.650375934361692,0.0540619423139563,0.630394334177061,0.572889703433909,0.579086974601574,0.646897614825026,"mo_ep_mean_angle_sd","valence","1000"
19638.5260294586,19638.536470402,19689.4948824308,0.648732645284779,0.00308984044932043,0.64764392122,0.573074268268952,0.579388610358104,0.646673731417188,"mo_ep_sd_x_flips","valence","1000"
