"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_speed_mean_within",0.052236869333108,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","arousal","3000"
"ran_pars","ID","sd__mo_ep_sd_speed_mean_within",0.0548926121404725,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","arousal","3000"
"ran_pars","Residual","sd__Observation",0.637541831842148,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","arousal","3000"
"fixed",NA,"(Intercept)",-0.0444042317382511,0.0546923296531889,-0.81189139354319,169.880917836719,0.417990118400825,-0.152368346792093,0.0635598833155907,"mo_ep_mean_speed_sd","arousal","3000"
"fixed",NA,"mo_ep_mean_speed_sd_within",-0.0212281066955767,0.0106091305831313,-2.0009280241427,135.080141932522,0.0474041961872804,-0.042209589743321,-0.000246623647832421,"mo_ep_mean_speed_sd","arousal","3000"
"fixed",NA,"mo_ep_mean_speed_sd_between",-0.332281838073264,0.0925891568592096,-3.58877701606603,169.144872161939,0.000434860261041331,-0.515061005083573,-0.149502671062956,"mo_ep_mean_speed_sd","arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.697393527084966,NA,NA,NA,NA,NA,NA,"mo_ep_mean_speed_sd","arousal","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_speed_sd_within",0.056743941606607,NA,NA,NA,NA,NA,NA,"mo_ep_mean_speed_sd","arousal","3000"
"ran_pars","ID","sd__mo_ep_mean_speed_sd_within",0.0787036843817284,NA,NA,NA,NA,NA,NA,"mo_ep_mean_speed_sd","arousal","3000"
"ran_pars","Residual","sd__Observation",0.636062792314455,NA,NA,NA,NA,NA,NA,"mo_ep_mean_speed_sd","arousal","3000"
"fixed",NA,"(Intercept)",-0.05223881688825,0.0564414519978003,-0.925539918609569,169.798722481933,0.355998675430195,-0.16365613294538,0.0591784991688801,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_within",-0.00988882894219878,0.00883779207260365,-1.11892527691993,109.274267652204,0.265625632948477,-0.0274045520852707,0.0076268942008731,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_between",-0.304412572156192,0.151659124308734,-2.00721567887004,169.2847776627,0.0463178037061824,-0.603799285270578,-0.00502585904180713,"mo_ep_sd_abs_jerk_sd","arousal","3000"
