"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","dframe","Log_loss","Score_log","Score_spherical"
90929.3218152506,90987.5659689034,0.536249222077003,0.012506337919017,0.530375944949644,16.0980105411404,16.2235160957404,"arousal","by_sample_cutoffNA",NA,NA,NA
88426.4601649977,88484.7043186505,0.628780129216743,0.0177628126013187,0.622066975730799,14.2829661242862,14.3950858003348,"valence","by_sample_cutoffNA",NA,NA,NA
3756.03213332451,3806.99576777069,0.492704211300465,0.0459095538133477,0.468293817711816,0.207676574033487,1,"stress","by_sample_cutoffNA",0.156575150502576,-30.1486153948278,0.00459895047967094
74429.4327701796,74486.0572928409,0.535076062906076,0.0157822404700403,0.527620861753235,16.1389385870436,16.2924187481813,"arousal","by_sample_iqr_out2.5",NA,NA,NA
72222.0436660625,72278.6681887238,0.629486236250465,0.0183351094647134,0.622565941471636,14.1752695613905,14.3112961703498,"valence","by_sample_iqr_out2.5",NA,NA,NA
3107.81283885169,3157.35929618035,0.478097620089693,0.0364333768150692,0.458363991287667,0.207559851627989,1,"stress","by_sample_iqr_out2.5",0.156547393461197,-24.1132809136304,0.00526854268594412
80842.9678848841,80900.262126335,0.53548461063438,0.0128185407776284,0.529452883230271,16.1132215358084,16.2544370332175,"arousal","by_sample_iqr_out3.5",NA,NA,NA
78467.3791725831,78524.673414034,0.631195176537748,0.0168387701350348,0.624878593399268,14.1748834325045,14.3001188867502,"valence","by_sample_iqr_out3.5",NA,NA,NA
3314.74415358776,3364.87661485728,0.480837827993884,0.034577015954068,0.462243824121121,0.205885194672911,1,"stress","by_sample_iqr_out3.5",0.154214554221534,-25.7145746212914,0.00516040156131389
90929.3218152506,90987.5659689034,0.536249222077003,0.012506337919017,0.530375944949644,16.0980105411404,16.2235160957404,"arousal","by_participant_cutoffNA",NA,NA,NA
88426.4601649977,88484.7043186505,0.628780129216743,0.0177628126013187,0.622066975730799,14.2829661242862,14.3950858003348,"valence","by_participant_cutoffNA",NA,NA,NA
3756.03213332451,3806.99576777069,0.492704211300465,0.0459095538133477,0.468293817711816,0.207676574033487,1,"stress","by_participant_cutoffNA",0.156575150502576,-30.1486153948278,0.00459895047967094
74429.4327701796,74486.0572928409,0.535076062906076,0.0157822404700403,0.527620861753235,16.1389385870436,16.2924187481813,"arousal","by_participant_iqr_out2.5",NA,NA,NA
72222.0436660625,72278.6681887238,0.629486236250465,0.0183351094647134,0.622565941471636,14.1752695613905,14.3112961703498,"valence","by_participant_iqr_out2.5",NA,NA,NA
3107.81283885169,3157.35929618035,0.478097620089693,0.0364333768150692,0.458363991287667,0.207559851627989,1,"stress","by_participant_iqr_out2.5",0.156547393461197,-24.1132809136304,0.00526854268594412
80842.9678848841,80900.262126335,0.53548461063438,0.0128185407776284,0.529452883230271,16.1132215358084,16.2544370332175,"arousal","by_participant_iqr_out3.5",NA,NA,NA
78467.3791725831,78524.673414034,0.631195176537748,0.0168387701350348,0.624878593399268,14.1748834325045,14.3001188867502,"valence","by_participant_iqr_out3.5",NA,NA,NA
3314.74415358776,3364.87661485728,0.480837827993884,0.034577015954068,0.462243824121121,0.205885194672911,1,"stress","by_participant_iqr_out3.5",0.154214554221534,-25.7145746212914,0.00516040156131389
