"Name","Model","log_BF","BF","df","df_diff","Chi2","p","iv","dv","dframe"
"..2","lmerModLmerTest",-6.6321490044902,0.00131732909584032,5,2,5.29674040421378,0.0707664541429489,"trial_sd_speed_sd","arousal","cutoff_0"
"..3","lmerModLmerTest",-5.16221953906279,0.00572896989127898,7,2,8.23659933507224,0.016272159013036,"trial_sd_speed_sd","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
"..2","lmerModLmerTest",-7.56339254664999,0.000519111144408164,5,2,3.4342533198942,0.179581405747394,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
"..3","lmerModLmerTest",-7.68310280944388,0.000460543700219313,7,2,3.19483279431006,0.202418812823612,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_angle_mean","arousal","cutoff_0"
"..2","lmerModLmerTest",-0.148323052782871,0.862152549168476,5,2,18.2643923076284,0.000108127858743638,"trial_mean_angle_mean","arousal","cutoff_0"
"..3","lmerModLmerTest",5.10318542045388,164.545219079824,7,2,28.7674092541056,5.6654766132441e-07,"trial_mean_angle_mean","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_angle_mean","arousal","cutoff_0"
"..2","lmerModLmerTest",-7.79526730759426,0.00041167872455006,5,2,2.97050379800567,0.226445292148248,"trial_sd_angle_mean","arousal","cutoff_0"
"..3","lmerModLmerTest",-9.09671237948533,0.000112033527421841,7,2,0.367613654227171,0.832096526790368,"trial_sd_angle_mean","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_angle_sd","arousal","cutoff_0"
"..2","lmerModLmerTest",-2.88538960580263,0.0558330324250002,5,2,12.7902592015889,0.00166966945915362,"trial_mean_angle_sd","arousal","cutoff_0"
"..3","lmerModLmerTest",-3.36212118765252,0.0346616570316898,7,2,11.8367960378928,0.00268950526417584,"trial_mean_angle_sd","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_angle_sd","arousal","cutoff_0"
"..2","lmerModLmerTest",-5.7300165163706,0.00324702360412252,5,2,7.10100538045299,0.0287102036873394,"trial_sd_angle_sd","arousal","cutoff_0"
"..3","lmerModLmerTest",-9.24633001764778,9.64650281737224e-05,7,2,0.0683783779022633,0.966388657285245,"trial_sd_angle_sd","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_x_flips","arousal","cutoff_0"
"..2","lmerModLmerTest",-4.1609782548403,0.0155922972165478,5,2,10.2390819035136,0.00597876680756322,"trial_sd_x_flips","arousal","cutoff_0"
"..3","lmerModLmerTest",-8.82293021233818,0.000147316059839225,7,2,0.915177988521464,0.632807510284533,"trial_sd_x_flips","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_y_flips","arousal","cutoff_0"
"..2","lmerModLmerTest",-7.82352080794408,0.000400210136342165,5,2,2.91399679730603,0.232934402671537,"trial_sd_y_flips","arousal","cutoff_0"
"..3","lmerModLmerTest",-9.03828711134338,0.000118774109137144,7,2,0.484464190511062,0.784873990880843,"trial_sd_y_flips","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"clicks","valence","cutoff_0"
"..2","lmerModLmerTest",-4.88203770298605,0.00758154933098877,5,2,8.79696300722208,0.0122959971612819,"clicks","valence","cutoff_0"
"..3","lmerModLmerTest",-3.18619946481158,0.0413286438050385,7,2,12.1886394835747,0.00225564403931449,"clicks","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_total_dist","valence","cutoff_0"
"..2","lmerModLmerTest",-8.88143786658293,0.000138944238584493,5,2,0.798162680028327,0.670936125179938,"task_total_dist","valence","cutoff_0"
"..3","lmerModLmerTest",8.82478941989939,6800.75843769231,7,2,36.2106172529966,1.37076930324583e-08,"task_total_dist","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_angle_sd","valence","cutoff_0"
"..2","lmerModLmerTest",-8.26118024394418,0.000258353890596065,5,2,2.03867792530582,0.36083338569772,"task_angle_sd","valence","cutoff_0"
"..3","lmerModLmerTest",-5.05842345295423,0.00635557147610472,7,2,8.44419150728936,0.0146678720241413,"task_angle_sd","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_x_flips","valence","cutoff_0"
"..2","lmerModLmerTest",-7.98507834447992,0.000340505818477889,5,2,2.59088172423435,0.273777139752489,"task_x_flips","valence","cutoff_0"
"..3","lmerModLmerTest",-2.70560036762254,0.066830189118249,7,2,13.1498376779527,0.00139491912684609,"task_x_flips","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_y_flips","valence","cutoff_0"
"..2","lmerModLmerTest",-8.36926371541995,0.00023188622515092,5,2,1.82251098235429,0.402019175530086,"task_y_flips","valence","cutoff_0"
"..3","lmerModLmerTest",-4.69746162312185,0.00911839366965955,7,2,9.16611516695411,0.0102235889816838,"task_y_flips","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_duration","valence","cutoff_0"
"..2","lmerModLmerTest",-9.09281533583271,0.000112470978798686,5,2,0.375407741528761,0.828860120607801,"trial_sd_duration","valence","cutoff_0"
"..3","lmerModLmerTest",-6.26851719119259,0.00189503647768961,7,2,6.02400403081265,0.0491930947764351,"trial_sd_duration","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_trial_move_offset","valence","cutoff_0"
"..2","lmerModLmerTest",-8.37121966554696,0.000231433110538633,5,2,1.81859908210026,0.402806274499754,"trial_mean_trial_move_offset","valence","cutoff_0"
"..3","lmerModLmerTest",2.64827530545517,14.1296482911382,7,2,23.8575890241082,6.59766663196098e-06,"trial_mean_trial_move_offset","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_trial_move_offset","valence","cutoff_0"
"..2","lmerModLmerTest",-7.20809960048064,0.000740563184951519,5,2,4.14483921223291,0.125880830895016,"trial_sd_trial_move_offset","valence","cutoff_0"
"..3","lmerModLmerTest",-9.05916062635697,0.000116320572042473,7,2,0.44271716048388,0.80142925206513,"trial_sd_trial_move_offset","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_total_dist","valence","cutoff_0"
"..2","lmerModLmerTest",-7.64490753834252,0.000478474548653604,5,2,3.27122333650914,0.194833161584622,"trial_sd_total_dist","valence","cutoff_0"
"..3","lmerModLmerTest",-4.0193521619658,0.0179645993212079,7,2,10.5223340892662,0.00518924510282474,"trial_sd_total_dist","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_distance_overshoot","valence","cutoff_0"
"..2","lmerModLmerTest",-7.89203086625093,0.000373709849076211,5,2,2.77697668069231,0.249452106446746,"trial_sd_distance_overshoot","valence","cutoff_0"
"..3","lmerModLmerTest",-3.98702108537327,0.0185549053529733,7,2,10.5869962424513,0.00502415438281115,"trial_sd_distance_overshoot","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_speed_mean","valence","cutoff_0"
