"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"within","trial_sd_abs_jerk_sd_within",-0.0175623889602885,0.95,-0.0364862731983274,0.00136149527775032,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
"between","trial_sd_abs_jerk_sd_between",-0.0274575769222886,0.95,-0.179393940739762,0.124478786895185,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_mean","arousal","cutoff_0"
"within","trial_mean_angle_mean_within",-0.0371707672772054,0.95,-0.0560844350542338,-0.0182570995001771,"trial_mean_angle_mean","arousal","cutoff_0"
"between","trial_mean_angle_mean_between",-0.143222833766247,0.95,-0.293888582517461,0.00744291498496705,"trial_mean_angle_mean","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_mean","arousal","cutoff_0"
"within","trial_sd_angle_mean_within",0.00606967271630727,0.95,-0.0128568861125286,0.0249962315451431,"trial_sd_angle_mean","arousal","cutoff_0"
"between","trial_sd_angle_mean_between",-0.124188009410494,0.95,-0.275264327010438,0.0268883081894496,"trial_sd_angle_mean","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_sd","arousal","cutoff_0"
"within","trial_mean_angle_sd_within",-0.0293312037857357,0.95,-0.0482498960394217,-0.0104125115320498,"trial_mean_angle_sd","arousal","cutoff_0"
"between","trial_mean_angle_sd_between",-0.14575893122436,0.95,-0.29636004016253,0.00484217771380993,"trial_mean_angle_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_sd","arousal","cutoff_0"
"within","trial_sd_angle_sd_within",0.00687853758946093,0.95,-0.0120478105691945,0.0258048857481164,"trial_sd_angle_sd","arousal","cutoff_0"
"between","trial_sd_angle_sd_between",-0.197393380241109,0.95,-0.346627533738985,-0.0481592267432324,"trial_sd_angle_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_x_flips","arousal","cutoff_0"
"within","trial_sd_x_flips_within",-0.030811113165543,0.95,-0.049728811555197,-0.0118934147758891,"trial_sd_x_flips","arousal","cutoff_0"
"between","trial_sd_x_flips_between",0.0176702006921816,0.95,-0.134642744087058,0.169983145471421,"trial_sd_x_flips","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_y_flips","arousal","cutoff_0"
"within","trial_sd_y_flips_within",-0.0120775237573955,0.95,-0.0310030038283905,0.00684795631359949,"trial_sd_y_flips","arousal","cutoff_0"
"between","trial_sd_y_flips_between",-0.089938819553607,0.95,-0.241385655451142,0.0615080163439282,"trial_sd_y_flips","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"clicks","valence","cutoff_0"
"within","clicks_within",0.0018095846830479,0.95,-0.0171173244110767,0.0207364937771725,"clicks","valence","cutoff_0"
"between","clicks_between",-0.22679369957738,0.95,-0.374993399542127,-0.0785939996126329,"clicks","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_total_dist","valence","cutoff_0"
"within","task_total_dist_within",-0.00857108638247785,0.95,-0.0274972265987047,0.010355053833749,"task_total_dist","valence","cutoff_0"
