"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","iv","dframe"
"fixed",NA,"(Intercept)",67.6980606797479,1.34062841129111,50.4972594266823,166.655146784704,6.21320560485435e-103,65.0512569696218,70.344864389874,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"clicks",-0.405946578482349,0.181442685961573,-2.23732676977854,10641.7697018484,0.0252856087241407,-0.761608160086517,-0.0502849968781807,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.0321887041702,0.158061290636205,-6.53030669315423,10566.161315741,6.86498239595447e-11,-1.34201863243653,-0.722358775903871,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.16345013656346,1.10530300031658,-1.05260741735997,424.795957174105,0.293119331831154,-3.33599409441788,1.00909382129096,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.73222179712442,2.83563687627063,-1.66883913688841,286.559538254155,0.0962414048026708,-10.3135404248955,0.849096830646689,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.48048712876725,2.63429593475433,1.70082907909323,337.733701384495,0.0898955658123196,-0.701206914737583,9.66218117227209,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.212264080724959,0.57033785278408,0.372172528421182,3735.0167083088,0.709785512729663,-0.905939931498977,1.33046809294889,"arousal","clicks","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.2145309669617,NA,NA,NA,NA,NA,NA,"arousal","clicks","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2200630163057,NA,NA,NA,NA,NA,NA,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.7040889967844,1.33791154777517,50.6043087148551,166.809333388271,3.86409660459018e-103,65.0626670492037,70.3455109443651,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"task_total_dist",-1.38720147358718,0.264564600381194,-5.24333743663531,10670.2055699394,1.6071419508598e-07,-1.90579738824339,-0.868605558930962,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"timestamp",-0.947048855041688,0.15840547597918,-5.9786370969029,10566.3583817875,2.32289595390606e-09,-1.2575534508046,-0.636544259278773,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.18212867470267,1.10348173742656,-1.07127162562702,424.638469086799,0.284655797501764,-3.35109512182989,0.986837772424553,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.68245310317581,2.83058855738464,-1.65423303608004,286.612598965317,0.0991748681412045,-10.2538308670437,0.888924660692107,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"screen_height",5.35990507122988,2.63476127738543,2.03430387308133,339.720655484504,0.0426973369985867,0.177404698566066,10.5424054438937,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.251564974287405,0.569703568932449,0.441571701505759,3726.05433186422,0.658824788843729,-0.865396332348759,1.36852628092357,"arousal","task_total_dist","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.1792750653909,NA,NA,NA,NA,NA,NA,"arousal","task_total_dist","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.203352007125,NA,NA,NA,NA,NA,NA,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.7203108351208,1.34015542871988,50.5316841493583,166.740921867481,5.15667204195592e-103,65.0744508894875,70.3661707807541,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd",-0.481538216799025,0.202638378981452,-2.37634262186385,10688.6851110426,0.0175027303841754,-0.878747120520347,-0.0843293130777041,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.01297888658775,0.157983012246189,-6.41194817205535,10566.2811460981,1.49806079058233e-10,-1.32265537404982,-0.703302399125687,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.08588687828795,1.10540584103406,-0.982342265599165,425.585869218266,0.326489367791172,-3.25862145414717,1.08684769757127,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.6914155694384,2.83490762028619,-1.65487423148017,286.636633421625,0.0990445024712323,-10.2712924545802,0.888461315703433,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.47018766658634,2.63361947151558,1.69735518549074,337.827837580909,0.0905504971278228,-0.710170573843179,9.65054590701586,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.159272475885748,0.570493957739228,0.279183457992996,3745.92492429295,0.780119449992901,-0.959236539779193,1.27778149155069,"arousal","task_angle_sd","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.2080898861127,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2196660372911,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.7070365524281,1.34353106757696,50.3948425059772,166.771630794071,7.66262247493101e-103,65.0545156758518,70.3595574290043,"arousal","task_x_flips","by_sample_cutoffNA"
"fixed",NA,"task_x_flips",-0.820810763945968,0.190015503105531,-4.31970418482172,10672.4346631939,1.57651611273223e-05,-1.19327654793582,-0.448344979956115,"arousal","task_x_flips","by_sample_cutoffNA"
