"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv1","iv2","dframe","Log_loss","Score_log","Score_spherical"
90926.430360086,91006.5160713586,0.536099004465018,0.0132638938416179,0.529863159319194,16.091600956385,16.2170510277939,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA",NA,NA,NA
90923.9813868193,91004.0670980919,0.535087880500335,0.0140089832385457,0.528482398321745,16.0904662395297,16.2158923966578,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90926.7950626099,91006.8807738825,0.536294847988897,0.0132246746171874,0.530080313032542,16.0917640559775,16.2172177680387,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90898.0725730787,90978.1582843513,0.534464382806321,0.017412541363977,0.526214574486925,16.0721977273159,16.1974565132517,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA",NA,NA,NA
90924.7607959168,91004.8465071894,0.53583048321223,0.0134582638260341,0.52949834784697,16.0905342646284,16.2159720387145,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA",NA,NA,NA
90913.7752797316,90993.8609910041,0.533465126830786,0.0156194711843512,0.526062473289143,16.0840429126751,16.2093923438067,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
90922.5486331008,91002.6343443734,0.536113337622922,0.013867215159954,0.529590061796473,16.088828590588,16.2142540695712,"arousal","task_y_flips","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
90915.7004634084,90995.786174681,0.538066906074687,0.0141777877337839,0.531423528322193,16.0827616657103,16.2081597921309,"arousal","task_x_flips","trial_sd_abs_jerk_sd","by_sample_cutoffNA",NA,NA,NA
90927.4976873686,91007.5833986412,0.53538580778506,0.0134237440566259,0.529064084589517,16.0928079326411,16.2182586672101,"arousal","clicks","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
90907.1778974557,90987.2636087283,0.536082221850233,0.0150463923769868,0.528995300327557,16.0776080492142,16.202939558643,"arousal","task_total_dist","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
90928.2225009839,91008.3082122565,0.535918999550522,0.0131641336211347,0.529728279787402,16.0930138125043,16.2184734278558,"arousal","task_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90901.6956542496,90981.7813655222,0.53536088602524,0.0170949218510455,0.527279770647043,16.0743713876911,16.1996588485491,"arousal","task_x_flips","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
90924.8888038207,91004.9745150932,0.536636038172375,0.0133571305327186,0.530363035940442,16.0901905804933,16.2156350461597,"arousal","task_y_flips","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90914.2319273979,90994.3176386705,0.535771681267812,0.0145621982616706,0.528911598567377,16.08293769114,16.2083098808309,"arousal","trial_sd_total_dist","trial_mean_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90907.5000620993,90987.5857733719,0.53607126968335,0.0149877252635694,0.529012234450796,16.0778408967351,16.2031743870382,"arousal","trial_sd_distance_overshoot","trial_mean_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90905.2569921342,90985.3427034068,0.533107530667417,0.0172097665600211,0.524931716406706,16.0782320819447,16.2035236961698,"arousal","trial_mean_angle_mean","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
90932.1818977997,91012.2676090723,0.536535825547829,0.0127411954188389,0.530554529064146,16.0955637419442,16.2210522371415,"arousal","trial_sd_angle_mean","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90919.8759036418,90999.9616149143,0.535210530707127,0.0141003381693758,0.528563111148807,16.0873463826169,16.2127491243832,"arousal","trial_mean_angle_sd","trial_sd_speed_mean","by_sample_cutoffNA",NA,NA,NA
90905.2007766327,90985.2864879053,0.533052029194837,0.016846403694692,0.525050843978037,16.0781294658856,16.2034216175245,"arousal","trial_sd_angle_sd","trial_mean_speed_mean","by_sample_cutoffNA",NA,NA,NA
90907.7411583212,90987.8268695938,0.534204505280241,0.0164121038710038,0.526432262380473,16.0793320117353,16.2046487996122,"arousal","trial_sd_x_flips","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
90914.697656793,90994.7833680656,0.533375455654632,0.0156529430245573,0.52595526035386,16.0847888883443,16.2101429490539,"arousal","trial_sd_y_flips","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
88430.0179260437,88510.1036373163,0.62896533474706,0.0177653883686238,0.622254539944693,14.2812505871247,14.3933581133445,"valence","task_angle_sd","trial_sd_duration","by_sample_cutoffNA",NA,NA,NA
88430.0297419315,88510.1154532041,0.62849635164431,0.0178371756954473,0.621749429766145,14.2815000387913,14.3936059470408,"valence","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
88432.2297323417,88512.3154436143,0.628821796048108,0.0178354803963315,0.622081436924973,14.2828058170975,14.394924317037,"valence","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
88428.4917836384,88508.577494911,0.629318567576394,0.0178429318613268,0.622584366137995,14.2800768501768,14.392177557514,"valence","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA",NA,NA,NA
88425.2333366389,88505.3190479115,0.629107236632386,0.0180284560724531,0.622297850012871,14.2780453116835,14.3901279473958,"valence","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA",NA,NA,NA
