"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","iv1","iv2","dframe"
"fixed",NA,"screen_width",-2.85260938593764,2.87993947447875,-0.990510186487148,353.580724300115,0.32260215521049,-8.51657453270765,2.81135576083237,"valence","trial_sd_distance_overshoot","trial_mean_speed_mean","by_participant_cutoffNA"
"fixed",NA,"screen_height",2.83891588493116,2.64964675441454,1.07143183528192,417.214301785407,0.284594694477055,-2.36940521517693,8.04723698503925,"valence","trial_sd_distance_overshoot","trial_mean_speed_mean","by_participant_cutoffNA"
"fixed",NA,"median_sampling_freq",-0.325507133036064,0.521501015505165,-0.624173536307984,5510.8594159519,0.532539461329275,-1.34785488144041,0.696840615368288,"valence","trial_sd_distance_overshoot","trial_mean_speed_mean","by_participant_cutoffNA"
"fixed",NA,"trial_sd_distance_overshoot:trial_mean_speed_mean",-0.176682613816034,0.114565410538264,-1.54219858320172,10566.847758847,0.123055288835157,-0.401252415326772,0.0478871876947031,"valence","trial_sd_distance_overshoot","trial_mean_speed_mean","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",18.4661324212746,NA,NA,NA,NA,NA,NA,"valence","trial_sd_distance_overshoot","trial_mean_speed_mean","by_participant_cutoffNA"
"ran_pars","Residual","sd__Observation",14.3924279653483,NA,NA,NA,NA,NA,NA,"valence","trial_sd_distance_overshoot","trial_mean_speed_mean","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",68.6959544826677,1.43310861159716,47.9349254667502,167.189744648388,1.30604170318149e-99,65.8666332082174,71.525275757118,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"fixed",NA,"trial_sd_x_flips",-0.126444616839719,0.140127250158443,-0.902355656710225,10558.8169393432,0.366888552226409,-0.401120466629716,0.148231232950277,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"fixed",NA,"trial_sd_speed_mean",-0.0429199935242856,0.140805285890817,-0.30481805603212,10582.5765537424,0.760510723074598,-0.318924850241053,0.233084863192482,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"fixed",NA,"timestamp",-0.349466581755523,0.140248121842857,-2.49177370194724,10566.4830702868,0.0127259108497212,-0.624379339987297,-0.0745538235237489,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
